	SRR1927149	SRR1929485
COG0001	2172	1021
COG0002	7010	1468
COG0003	22	0
COG0004	1208	437
COG0005	3476	1104
COG0006	18267	3916
COG0007	561	560
COG0008	27015	5853
COG0009	5288	1296
COG0010	1883	462
COG0011	11	3
COG0012	10056	2692
COG0013	21048	5088
COG0014	7727	1561
COG0015	10985	2516
COG0016	9484	2272
COG0017	12304	2749
COG0018	14913	3929
COG0019	17899	2899
COG0020	6155	1489
COG0021	11931	2286
COG0022	750	182
COG0023	470	129
COG0024	8434	1644
COG0025	814	311
COG0026	76	82
COG0027	5411	889
COG0028	16254	3662
COG0029	9646	1679
COG0030	6369	1457
COG0031	10794	2142
COG0033	5411	336
COG0034	12996	2958
COG0035	5380	1308
COG0036	5820	1563
COG0037	16028	2762
COG0038	6852	2042
COG0039	11829	2048
COG0040	5166	973
COG0041	4147	910
COG0042	10019	2309
COG0043	175	284
COG0044	9583	1888
COG0045	3948	328
COG0046	13901	2848
COG0047	13625	2778
COG0048	5127	1282
COG0049	6237	1706
COG0050	21577	5159
COG0051	4067	1053
COG0052	8345	2264
COG0053	8515	1838
COG0054	3174	599
COG0055	12834	2925
COG0056	13233	3129
COG0057	11265	3153
COG0058	22383	4805
COG0059	9569	1542
COG0060	26311	6221
COG0061	5805	1256
COG0062	4585	860
COG0063	4694	908
COG0064	3371	1267
COG0065	9196	1527
COG0066	3684	741
COG0067	9449	1848
COG0068	127	270
COG0069	9800	2021
COG0070	9299	1753
COG0071	4201	1749
COG0072	9668	2194
COG0073	19416	4951
COG0074	2867	590
COG0075	2375	327
COG0076	789	431
COG0077	6354	1312
COG0078	9290	2096
COG0079	9022	1834
COG0080	5397	1218
COG0081	8749	2046
COG0082	6006	1370
COG0083	3060	279
COG0084	8389	2004
COG0085	38419	9735
COG0086	38867	10104
COG0087	7249	1794
COG0088	6684	1795
COG0089	4034	947
COG0090	9260	2426
COG0091	4944	1390
COG0092	8345	2346
COG0093	4836	1325
COG0094	7544	1792
COG0095	1868	409
COG0096	5271	1340
COG0097	6716	1762
COG0098	6180	1739
COG0099	4965	1428
COG0100	5325	1410
COG0101	5474	1331
COG0102	5331	1341
COG0103	4637	1236
COG0104	10633	2707
COG0105	1755	303
COG0106	4191	866
COG0107	4365	1022
COG0108	3492	849
COG0109	7	88
COG0110	9782	3026
COG0111	13936	2661
COG0112	11394	2334
COG0113	637	526
COG0114	1218	359
COG0115	12478	2241
COG0116	7331	1516
COG0117	3520	819
COG0118	3596	698
COG0119	14915	2980
COG0120	1879	270
COG0121	56	91
COG0122	2526	489
COG0123	119	31
COG0124	10338	2385
COG0125	4163	747
COG0126	10694	2694
COG0127	5022	1242
COG0128	8114	1610
COG0129	12431	2331
COG0130	5980	1420
COG0131	3024	610
COG0132	2132	331
COG0133	6494	1302
COG0134	3356	779
COG0135	3238	620
COG0136	11985	2014
COG0137	10536	2470
COG0138	11601	2621
COG0139	2171	492
COG0140	1559	339
COG0141	7297	1474
COG0142	12126	2304
COG0143	9504	2688
COG0144	14113	2202
COG0145	165	42
COG0146	1	5
COG0147	10971	1710
COG0148	8494	2178
COG0149	8818	2426
COG0150	7548	1757
COG0151	9507	1975
COG0152	6987	1867
COG0153	7511	2211
COG0154	3001	1277
COG0155	675	405
COG0156	8602	1784
COG0157	4858	732
COG0158	41	132
COG0159	4177	863
COG0160	1770	381
COG0161	4799	520
COG0162	10274	2618
COG0163	106	94
COG0164	4878	1087
COG0165	9998	2222
COG0166	13715	2814
COG0167	6670	1465
COG0168	14569	3804
COG0169	7226	1316
COG0170	474	60
COG0171	6166	1404
COG0172	11657	2833
COG0173	14688	3444
COG0174	8016	1716
COG0175	3008	1507
COG0176	1368	603
COG0177	4549	1107
COG0178	30661	8319
COG0179	1937	684
COG0180	8517	2254
COG0181	526	522
COG0182	887	193
COG0183	1348	1120
COG0184	2852	701
COG0185	4072	1107
COG0186	4132	1165
COG0187	35614	8292
COG0188	41392	9576
COG0189	455	165
COG0190	7495	1441
COG0191	10497	2996
COG0192	10191	2598
COG0193	4408	1168
COG0194	6856	1243
COG0195	11779	3115
COG0196	6942	1276
COG0197	5313	1433
COG0198	4347	1039
COG0199	3217	823
COG0200	5798	1331
COG0201	15069	3216
COG0202	14807	2578
COG0203	5156	1304
COG0204	14989	2766
COG0205	14810	3981
COG0206	12926	3258
COG0207	4944	976
COG0208	504	347
COG0209	6310	987
COG0210	36778	6504
COG0211	3231	821
COG0212	3500	655
COG0213	1788	888
COG0214	2576	1065
COG0215	13360	3324
COG0216	8162	2273
COG0217	6960	1637
COG0218	5185	979
COG0219	2460	465
COG0220	5846	1331
COG0221	1262	522
