	SRR1927149	SRR1929485
PF00004 [ATPase family associated with various cellular activities (AAA)]	41503	8327
PF00005 [ABC transporter]	209946	45335
PF00006 [ATP synthase alpha/beta family, nucleotide-binding domain]	23422	4460
PF00009 [Elongation factor Tu GTP binding domain]	48311	13078
PF00011 [Hsp20/alpha crystallin family]	3866	1566
PF00012 [Hsp70 protein]	13884	4431
PF00013 [KH domain]	1527	454
PF00015 [Methyl-accepting chemotaxis protein (MCP) signalling domain]	35037	5432
PF00016 [Ribulose bisphosphate carboxylase large chain, catalytic domain]	25	57
PF00022 [Actin]	131	64
PF00023 [Ankyrin repeat]	740	316
PF00027 [Cyclic nucleotide-binding domain]	3649	700
PF00030 [Beta/Gamma crystallin]	46	5
PF00033 [Cytochrome b/b6/petB]	6	1
PF00034 [Cytochrome c]	9	62
PF00035 [Double-stranded RNA binding motif]	1570	216
PF00036 [EF hand]	314	2
PF00037 [4Fe-4S binding domain]	8359	2143
PF00041 [Fibronectin type III domain]	4742	65
PF00042 [Globin]	8	48
PF00043 [Glutathione S-transferase, C-terminal domain]	14	82
PF00044 [Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain]	5447	1406
PF00056 [lactate/malate dehydrogenase, NAD binding domain]	5836	982
PF00059 [Lectin C-type domain]	358	26
PF00069 [Protein kinase domain]	10808	2116
PF00070 [Pyridine nucleotide-disulphide oxidoreductase]	9742	1848
PF00072 [Response regulator receiver domain]	77755	18211
PF00075 [RNase H]	3117	506
PF00076 [RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)]	2729	46
PF00078 [Reverse transcriptase (RNA-dependent DNA polymerase)]	14805	4480
PF00079 [Serpin (serine protease inhibitor)]	2685	603
PF00080 [Copper/zinc superoxide dismutase (SODC)]	106	50
PF00081 [Iron/manganese superoxide dismutases, alpha-hairpin domain]	780	65
PF00082 [Subtilase family]	27874	2909
PF00083 [Sugar (and other) transporter]	7166	2245
PF00085 [Thioredoxin]	5937	1556
PF00089 [Trypsin]	2587	588
PF00091 [Tubulin/FtsZ family, GTPase domain]	6034	1436
PF00092 [von Willebrand factor type A domain]	5138	945
PF00106 [short chain dehydrogenase]	11320	3329
PF00107 [Zinc-binding dehydrogenase]	2590	1229
PF00108 [Thiolase, N-terminal domain]	825	665
PF00109 [Beta-ketoacyl synthase, N-terminal domain]	11226	1672
PF00111 [2Fe-2S iron-sulfur cluster binding domain]	536	422
PF00112 [Papain family cysteine protease]	861	353
PF00113 [Enolase, C-terminal TIM barrel domain]	4724	1288
PF00115 [Cytochrome C and Quinol oxidase polypeptide I]	66	207
PF00117 [Glutamine amidotransferase class-I]	24020	4715
PF00118 [TCP-1/cpn60 chaperonin family]	14640	3834
PF00119 [ATP synthase A chain]	8351	1703
PF00120 [Glutamine synthetase, catalytic domain]	7789	1960
PF00121 [Triosephosphate isomerase]	7616	1764
PF00122 [E1-E2 ATPase]	17955	3906
PF00126 [Bacterial regulatory helix-turn-helix protein, lysR family]	10809	4759
PF00128 [Alpha amylase, catalytic domain]	82346	8288
PF00132 [Bacterial transferase hexapeptide (six repeats)]	17292	3380
PF00133 [tRNA synthetases class I (I, L, M and V)]	28163	7299
PF00135 [Carboxylesterase family]	6853	1567
PF00136 [DNA polymerase family B]	274	109
PF00137 [ATP synthase subunit C]	1987	620
PF00139 [Legume lectin domain]	119	0
PF00140 [Sigma-70 factor, region 1.2]	1684	573
PF00141 [Peroxidase]	22	213
PF00142 [4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family]	451	171
PF00144 [Beta-lactamase]	6114	2552
PF00145 [C-5 cytosine-specific DNA methylase]	22976	3672
PF00146 [NADH dehydrogenase]	2575	994
PF00148 [Nitrogenase component 1 type Oxidoreductase]	1139	509
PF00149 [Calcineurin-like phosphoesterase]	20439	3061
PF00150 [Cellulase (glycosyl hydrolase family 5)]	8778	2432
PF00152 [tRNA synthetases class II (D, K and N) ]	25549	6011
PF00154 [recA bacterial DNA recombination protein]	6914	2248
PF00155 [Aminotransferase class I and II]	57123	11290
PF00156 [Phosphoribosyl transferase domain]	11702	2242
PF00158 [Sigma-54 interaction domain]	10869	3084
PF00160 [Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD]	6770	1546
PF00162 [Phosphoglycerate kinase]	10660	2678
PF00163 [Ribosomal protein S4/S9 N-terminal domain]	3447	796
PF00164 [Ribosomal protein S12/S23]	4970	1207
PF00165 [Bacterial regulatory helix-turn-helix proteins, AraC family]	16411	4744
PF00166 [Chaperonin 10 Kd subunit]	3164	755
PF00171 [Aldehyde dehydrogenase family]	7380	2674
PF00174 [Oxidoreductase molybdopterin binding domain]	5	42
PF00175 [Oxidoreductase NAD-binding domain ]	6066	773
PF00176 [SNF2 family N-terminal domain]	9116	1893
PF00177 [Ribosomal protein S7p/S5e]	6176	1672
PF00180 [Isocitrate/isopropylmalate dehydrogenase]	15975	3109
PF00181 [Ribosomal Proteins L2, RNA binding domain]	4425	1074
PF00183 [Hsp90 protein]	9215	1622
PF00185 [Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain]	7986	1691
PF00186 [Dihydrofolate reductase]	3507	634
PF00188 [Cysteine-rich secretory protein family]	846	175
PF00189 [Ribosomal protein S3, C-terminal domain]	4016	1123
PF00195 [Chalcone and stilbene synthases, N-terminal domain]	40	4
PF00196 [Bacterial regulatory proteins, luxR family]	8856	2722
PF00198 [2-oxoacid dehydrogenases acyltransferase (catalytic domain)]	586	253
PF00199 [Catalase]	9	69
PF00202 [Aminotransferase class-III]	16258	3538
PF00203 [Ribosomal protein S19]	3979	1048
PF00204 [DNA gyrase B]	10714	2410
PF00205 [Thiamine pyrophosphate enzyme, central domain]	4825	1201
PF00206 [Lyase]	14590	3930
PF00207 [Alpha-2-macroglobulin family]	2846	582
PF00208 [Glutamate/Leucine/Phenylalanine/Valine dehydrogenase]	5950	1498
PF00209 [Sodium:neurotransmitter symporter family]	21044	3245
PF00210 [Ferritin-like domain]	1160	555
PF00211 [Adenylate and Guanylate cyclase catalytic domain]	1088	300
PF00213 [ATP synthase delta (OSCP) subunit]	4392	919
PF00215 [Orotidine 5'-phosphate decarboxylase / HUMPS family]	4602	1187
PF00216 [Bacterial DNA-binding protein]	8654	1886
PF00217 [ATP:guanido phosphotransferase, C-terminal catalytic domain]	695	279
PF00218 [Indole-3-glycerol phosphate synthase]	3272	686
PF00221 [Aromatic amino acid lyase]	2898	601
PF00224 [Pyruvate kinase, barrel domain]	6683	1298
PF00226 [DnaJ domain]	5022	1612
PF00227 [Proteasome subunit]	929	255
PF00230 [Major intrinsic protein]	724	422
PF00231 [ATP synthase]	7613	1718
PF00232 [Glycosyl hydrolase family 1]	1758	1236
PF00237 [Ribosomal protein L22p/L17e]	4836	1319
PF00238 [Ribosomal protein L14p/L23e]	4789	1300
PF00239 [Resolvase, N terminal domain]	33636	9065
PF00240 [Ubiquitin family]	252	14
PF00245 [Alkaline phosphatase]	5545	597
PF00246 [Zinc carboxypeptidase]	3250	156
PF00248 [Aldo/keto reductase family]	17662	3613
PF00251 [Glycosyl hydrolases family 32 N-terminal domain]	2710	954
PF00252 [Ribosomal protein L16p/L10e]	5232	1377
PF00253 [Ribosomal protein S14p/S29e]	3080	737
PF00254 [FKBP-type peptidyl-prolyl cis-trans isomerase]	8071	2038
PF00255 [Glutathione peroxidase]	735	224
PF00258 [Flavodoxin]	3127	836
PF00263 [Bacterial type II and III secretion system protein]	10346	1227
PF00265 [Thymidine kinase]	2208	775
PF00266 [Aminotransferase class-V]	28484	5666
PF00267 [Gram-negative porin]	1506	395
PF00268 [Ribonucleotide reductase, small chain]	479	316
PF00269 [Small, acid-soluble spore proteins, alpha/beta type]	513	93
PF00270 [DEAD/DEAH box helicase]	32131	6327
PF00271 [Helicase conserved C-terminal domain]	45390	8771
PF00275 [EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)]	16379	3364
PF00276 [Ribosomal protein L23]	3975	889
PF00278 [Pyridoxal-dependent decarboxylase, C-terminal sheet domain]	9269	1470
PF00281 [Ribosomal protein L5]	3656	861
PF00282 [Pyridoxal-dependent decarboxylase conserved domain]	784	390
PF00285 [Citrate synthase, C-terminal domain]	8671	1253
PF00288 [GHMP kinases N terminal domain]	4359	618
PF00289 [Biotin carboxylase, N-terminal domain]	2013	239
PF00290 [Tryptophan synthase alpha chain]	4097	798
PF00291 [Pyridoxal-phosphate dependent enzyme]	30790	5687
PF00293 [NUDIX domain]	17529	3622
PF00294 [pfkB family carbohydrate kinase]	22416	5889
PF00295 [Glycosyl hydrolases family 28]	10366	2517
PF00296 [Luciferase-like monooxygenase]	72	198
PF00297 [Ribosomal protein L3]	3796	1424
PF00298 [Ribosomal protein L11, RNA binding domain]	2689	626
PF00300 [Histidine phosphatase superfamily (branch 1)]	7112	1550
PF00301 [Rubredoxin]	991	330
PF00302 [Chloramphenicol acetyltransferase]	820	131
PF00303 [Thymidylate synthase]	4887	928
PF00306 [ATP synthase alpha/beta chain, C terminal domain]	5061	975
PF00308 [Bacterial dnaA  protein]	7487	1498
PF00309 [Sigma-54 factor, Activator interacting domain (AID) ]	2417	260
PF00310 [Glutamine amidotransferases class-II]	7241	1377
PF00311 [Phosphoenolpyruvate carboxylase]	20	247
PF00312 [Ribosomal protein S15]	2757	656
PF00313 ['Cold-shock' DNA-binding domain]	1100	322
PF00316 [Fructose-1-6-bisphosphatase, N-terminal domain]	18	66
PF00317 [Ribonucleotide reductase, all-alpha domain]	146	122
PF00318 [Ribosomal protein S2]	8166	2209
PF00324 [Amino acid permease]	1740	1920
PF00325 [Bacterial regulatory proteins, crp family]	5	28
PF00326 [Prolyl oligopeptidase family]	14072	3418
PF00327 [Ribosomal protein L30p/L7e]	2754	530
PF00328 [Histidine phosphatase superfamily (branch 2)]	118	488
PF00329 [Respiratory-chain NADH dehydrogenase, 30 Kd subunit]	1354	430
PF00330 [Aconitase family (aconitate hydratase)]	16662	3609
PF00331 [Glycosyl hydrolase family 10]	5145	1032
PF00333 [Ribosomal protein S5, N-terminal domain]	3128	884
PF00334 [Nucleoside diphosphate kinase]	1745	303
PF00338 [Ribosomal protein S10p/S20e]	3885	966
PF00342 [Phosphoglucose isomerase]	11329	1460
PF00343 [Carbohydrate phosphorylase]	18025	3248
PF00344 [SecY translocase]	14679	3010
PF00345 [Pili and flagellar-assembly chaperone, PapD N-terminal domain]	94	492
PF00346 [Respiratory-chain NADH dehydrogenase, 49 Kd subunit]	1861	744
PF00347 [Ribosomal protein L6]	6416	1638
PF00348 [Polyprenyl synthetase]	11772	2177
PF00349 [Hexokinase]	322	94
PF00350 [Dynamin family]	2522	613
PF00352 [Transcription factor TFIID (or TATA-binding protein, TBP)]	17	2
PF00353 [Haemolysin-type calcium-binding repeat (2 copies)]	642	61
PF00355 [Rieske [2Fe-2S] domain]	22	184
PF00356 [Bacterial regulatory proteins, lacI family]	6646	1718
PF00358 [phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1]	2757	682
PF00359 [Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2]	4993	1433
PF00361 [Proton-conducting membrane transporter]	8490	3588
PF00364 [Biotin-requiring enzyme]	4237	904
PF00365 [Phosphofructokinase]	13320	3279
PF00366 [Ribosomal protein S17]	4022	1105
PF00367 [phosphotransferase system, EIIB]	819	1113
PF00370 [FGGY family of carbohydrate kinases, N-terminal domain]	9238	2985
PF00374 [Nickel-dependent hydrogenase]	132	470
PF00375 [Sodium:dicarboxylate symporter family]	16966	3189
PF00376 [MerR family regulatory protein]	763	335
PF00378 [Enoyl-CoA hydratase/isomerase]	2643	698
PF00380 [Ribosomal protein S9/S16]	4541	1184
PF00381 [PTS HPr component phosphorylation site]	3296	797
PF00383 [Cytidine and deoxycytidylate deaminase zinc-binding region]	8233	1674
PF00384 [Molybdopterin oxidoreductase]	378	1354
PF00389 [D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain]	7719	1544
PF00390 [Malic enzyme, N-terminal domain]	4159	551
PF00391 [PEP-utilising enzyme, mobile domain]	9114	2118
PF00392 [Bacterial regulatory proteins, gntR family]	6190	2233
PF00393 [6-phosphogluconate dehydrogenase, C-terminal domain]	254	97
PF00394 [Multicopper oxidase]	2	4
PF00395 [S-layer homology domain]	2269	1760
PF00398 [Ribosomal RNA adenine dimethylase]	6081	1297
PF00400 [WD domain, G-beta repeat]	0	11
PF00401 [ATP synthase, Delta/Epsilon chain, long alpha-helix domain]	240	168
PF00403 [Heavy-metal-associated domain]	4116	1276
PF00404 [Dockerin type I repeat]	1163	314
PF00406 [Adenylate kinase]	2254	585
PF00408 [Phosphoglucomutase/phosphomannomutase, C-terminal domain]	1645	264
PF00410 [Ribosomal protein S8]	5199	1316
PF00411 [Ribosomal protein S11]	5218	1366
PF00415 [Regulator of chromosome condensation (RCC1) repeat]	458	48
PF00416 [Ribosomal protein S13/S18]	4822	1371
PF00419 [Fimbrial protein]	210	1254
PF00420 [NADH-ubiquinone/plastoquinone oxidoreductase chain 4L]	904	321
PF00425 [chorismate binding enzyme]	11145	1537
PF00430 [ATP synthase B/B' CF(0)]	3642	710
PF00436 [Single-strand binding protein family]	9419	2201
PF00437 [Type II/IV secretion system protein]	26941	2730
PF00438 [S-adenosylmethionine synthetase, N-terminal domain]	3575	949
PF00440 [Bacterial regulatory proteins, tetR family]	10384	2312
PF00441 [Acyl-CoA dehydrogenase, C-terminal domain]	1338	663
PF00444 [Ribosomal protein L36]	1136	313
PF00445 [Ribonuclease T2 family]	9	83
PF00448 [SRP54-type protein, GTPase domain]	16863	2118
PF00449 [Urease alpha-subunit, N-terminal domain]	1908	39
PF00453 [Ribosomal protein L20]	4129	1068
PF00455 [DeoR C terminal sensor domain]	2368	1017
PF00456 [Transketolase, thiamine diphosphate binding domain]	7674	1931
PF00459 [Inositol monophosphatase family]	2969	410
PF00460 [Flagella basal body rod protein]	648	207
PF00462 [Glutaredoxin]	167	147
PF00463 [Isocitrate lyase family]	164	158
PF00464 [Serine hydroxymethyltransferase]	9023	2044
PF00465 [Iron-containing alcohol dehydrogenase ]	10080	2745
PF00466 [Ribosomal protein L10]	6493	1423
PF00468 [Ribosomal protein L34]	1391	308
PF00471 [Ribosomal protein L33]	2139	564
PF00472 [RF-1 domain]	8508	2514
PF00474 [Sodium:solute symporter family]	18387	4059
PF00475 [Imidazoleglycerol-phosphate dehydratase]	5207	766
PF00476 [DNA polymerase family A]	17234	3161
PF00478 [IMP dehydrogenase / GMP reductase domain]	7531	2042
PF00479 [Glucose-6-phosphate dehydrogenase, NAD binding domain]	22	74
PF00480 [ROK family]	12866	3561
PF00481 [Protein phosphatase 2C]	674	160
PF00482 [Type II secretion system (T2SS), protein F]	14947	1726
PF00483 [Nucleotidyl transferase]	37133	6560
PF00484 [Carbonic anhydrase]	857	275
PF00485 [Phosphoribulokinase / Uridine kinase family]	7918	2381
PF00486 [Transcriptional regulatory protein, C terminal]	17912	5428
PF00488 [MutS domain V]	10940	2800
PF00490 [Delta-aminolevulinic acid dehydratase]	611	510
PF00491 [Arginase family]	1608	416
PF00493 [MCM2/3/5 family]	51	3
PF00494 [Squalene/phytoene synthase]	3956	246
PF00496 [Bacterial extracellular solute-binding proteins, family 5 Middle]	19332	4258
PF00497 [Bacterial extracellular solute-binding proteins, family 3]	15235	4124
PF00498 [FHA domain]	2158	476
PF00499 [NADH-ubiquinone/plastoquinone oxidoreductase chain 6]	1112	330
PF00501 [AMP-binding enzyme]	38081	9059
PF00507 [NADH-ubiquinone/plastoquinone oxidoreductase, chain 3]	647	218
PF00510 [Cytochrome c oxidase subunit III]	20	95
PF00512 [His Kinase A (phospho-acceptor) domain]	25803	6581
PF00515 [Tetratricopeptide repeat]	4659	1479
PF00520 [Ion transport protein]	1880	35
PF00521 [DNA gyrase/topoisomerase IV, subunit A]	27480	6180
PF00528 [Binding-protein-dependent transport system inner membrane component]	81186	14597
PF00529 [HlyD membrane-fusion protein of T1SS]	74	501
PF00532 [Periplasmic binding proteins and sugar binding domain of LacI family]	8276	1990
PF00533 [BRCA1 C Terminus (BRCT) domain]	1319	445
PF00534 [Glycosyl transferases group 1]	18311	4225
PF00535 [Glycosyl transferase family 2]	44295	11903
PF00542 [Ribosomal protein L7/L12 C-terminal domain]	2694	712
PF00543 [Nitrogen regulatory protein P-II]	5264	886
PF00544 [Pectate lyase]	1461	1013
PF00545 [ribonuclease]	280	36
PF00547 [Urease, gamma subunit]	856	18
PF00549 [CoA-ligase]	2874	337
PF00550 [Phosphopantetheine attachment site]	3855	786
PF00551 [Formyl transferase]	7951	1620
PF00553 [Cellulose binding domain]	678	18
PF00557 [Metallopeptidase family M24]	14606	3441
PF00560 [Leucine Rich Repeat]	10	6
PF00561 [alpha/beta hydrolase fold]	5364	678
PF00562 [RNA polymerase Rpb2, domain 6]	8441	2783
PF00563 [EAL domain]	31418	3415
PF00565 [Staphylococcal nuclease homologue]	274	37
PF00570 [HRDC domain]	2089	726
PF00571 [CBS domain]	14041	2443
PF00572 [Ribosomal protein L13]	5056	1212
PF00573 [Ribosomal protein L4/L1 family]	6339	1676
PF00574 [Clp protease]	10748	1778
PF00575 [S1 RNA binding domain]	23316	4852
PF00576 [HIUase/Transthyretin family]	10	17
PF00577 [Outer membrane usher protein]	205	1065
PF00578 [AhpC/TSA family]	7161	1499
PF00579 [tRNA synthetases class I (W and Y)]	17352	4226
PF00580 [UvrD/REP helicase N-terminal domain]	22011	3700
PF00581 [Rhodanese-like domain]	2214	794
PF00582 [Universal stress protein family]	3988	575
PF00583 [Acetyltransferase (GNAT) family]	11344	1451
PF00584 [SecE/Sec61-gamma subunits of protein translocation complex]	3714	607
PF00585 [C-terminal regulatory domain of Threonine dehydratase]	2651	56
PF00586 [AIR synthase related protein, N-terminal domain]	8013	1234
PF00587 [tRNA synthetase class II core domain (G, H, P, S and T)]	18129	4290
PF00588 [SpoU rRNA Methylase family]	12927	2646
PF00589 [Phage integrase family]	59978	13564
PF00590 [Tetrapyrrole (Corrin/Porphyrin) Methylases]	7922	2493
PF00591 [Glycosyl transferase family, a/b domain]	3401	897
PF00593 [TonB dependent receptor]	92026	29123
PF00595 [PDZ domain (Also known as DHR or GLGF)]	2209	281
PF00596 [Class II Aldolase and Adducin N-terminal domain]	6580	1827
PF00614 [Phospholipase D Active site motif]	1271	410
PF00623 [RNA polymerase Rpb1, domain 2]	6080	1509
PF00625 [Guanylate kinase]	5162	1101
PF00633 [Helix-hairpin-helix motif]	58	54
PF00636 [Ribonuclease III domain]	2863	618
PF00639 [PPIC-type PPIASE domain]	5175	833
PF00644 [Poly(ADP-ribose) polymerase catalytic domain]	0	11
PF00648 [Calpain family cysteine protease]	76	10
PF00652 [Ricin-type beta-trefoil lectin domain]	121	58
PF00654 [Voltage gated chloride channel]	5784	1659
PF00656 [Caspase domain]	3554	982
PF00657 [GDSL-like Lipase/Acylhydrolase]	555	122
PF00662 [NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus]	1488	336
PF00664 [ABC transporter transmembrane region]	32292	6841
PF00665 [Integrase core domain]	44883	5451
PF00667 [FAD binding domain]	8	42
PF00668 [Condensation domain]	682	316
PF00669 [Bacterial flagellin N-terminal helical region]	15220	1260
PF00670 [S-adenosyl-L-homocysteine hydrolase, NAD binding domain]	994	224
PF00672 [HAMP domain]	1174	658
PF00673 [ribosomal L5P family C-terminus]	3758	878
PF00675 [Insulinase (Peptidase family M16)]	7175	2182
PF00676 [Dehydrogenase E1 component]	544	220
PF00677 [Lumazine binding domain]	3953	709
PF00679 [Elongation factor G C-terminus]	22608	5510
PF00682 [HMGL-like]	11385	2639
PF00684 [DnaJ central domain]	2192	508
PF00686 [Starch binding domain]	1832	527
PF00687 [Ribosomal protein L1p/L10e family]	8311	1829
PF00689 [Cation transporting ATPase, C-terminus]	4060	896
PF00690 [Cation transporter/ATPase, N-terminus]	2316	374
PF00691 [OmpA family]	18618	3970
PF00692 [dUTPase]	6004	1019
PF00694 [Aconitase C-terminal domain]	5006	1036
PF00696 [Amino acid kinase family]	30206	5281
PF00697 [N-(5'phosphoribosyl)anthranilate (PRA) isomerase]	3022	470
PF00698 [Acyl transferase domain]	6002	1142
PF00699 [Urease beta subunit]	1095	27
PF00700 [Bacterial flagellin C-terminal helical region]	9348	1026
PF00701 [Dihydrodipicolinate synthetase family]	8676	1814
PF00702 [haloacid dehalogenase-like hydrolase]	24098	4923
PF00703 [Glycosyl hydrolases family 2]	4296	1328
PF00704 [Glycosyl hydrolases family 18]	1406	550
PF00707 [Translation initiation factor IF-3, C-terminal domain]	2911	762
PF00708 [Acylphosphatase]	166	130
PF00709 [Adenylosuccinate synthetase]	10601	2687
PF00710 [Asparaginase, N-terminal]	2456	666
PF00712 [DNA polymerase III beta subunit, N-terminal domain]	3668	676
PF00717 [Peptidase S24-like]	4720	1078
PF00719 [Inorganic pyrophosphatase]	1002	474
PF00722 [Glycosyl hydrolases family 16]	11412	804
PF00724 [NADH:flavin oxidoreductase / NADH oxidase family]	1090	669
PF00725 [3-hydroxyacyl-CoA dehydrogenase, C-terminal domain]	670	333
PF00728 [Glycosyl hydrolase family 20, catalytic domain]	10641	2341
PF00730 [HhH-GPD superfamily base excision DNA repair protein]	6364	1339
PF00731 [AIR carboxylase]	4362	1109
PF00732 [GMC oxidoreductase]	5	72
PF00733 [Asparagine synthase]	4078	1016
PF00742 [Homoserine dehydrogenase]	3985	934
PF00745 [Glutamyl-tRNAGlu reductase, dimerisation domain]	185	124
PF00749 [tRNA synthetases class I (E and Q), catalytic domain]	15722	3732
PF00750 [tRNA synthetases class I (R)]	5743	1515
PF00753 [Metallo-beta-lactamase superfamily]	9957	2824
PF00754 [F5/8 type C domain]	4499	711
PF00756 [Putative esterase]	3408	1997
PF00759 [Glycosyl hydrolase family 9]	2530	873
PF00762 [Ferrochelatase]	27	94
PF00763 [Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain]	3679	688
PF00764 [Arginosuccinate synthase]	10170	2268
PF00766 [Electron transfer flavoprotein FAD-binding domain]	1702	784
PF00768 [D-alanyl-D-alanine carboxypeptidase]	7738	2458
PF00771 [FHIPEP family]	8145	925
PF00772 [DnaB-like helicase N terminal domain]	4578	1209
PF00773 [RNB domain]	19074	1917
PF00781 [Diacylglycerol kinase catalytic domain]	3812	1116
PF00782 [Dual specificity phosphatase, catalytic domain]	11	65
PF00793 [DAHP synthetase I family]	10400	2135
PF00795 [Carbon-nitrogen hydrolase]	16227	2651
PF00797 [N-acetyltransferase]	177	85
PF00800 [Prephenate dehydratase]	4249	1000
PF00801 [PKD domain]	26091	207
PF00805 [Pentapeptide repeats (8 copies)]	866	206
PF00809 [Pterin binding enzyme]	9126	1846
PF00813 [FliP family]	3234	419
PF00814 [Glycoprotease family]	12096	2548
PF00815 [Histidinol dehydrogenase]	7186	1368
PF00816 [H-NS histone family]	1151	120
PF00817 [impB/mucB/samB family]	7319	1456
PF00821 [Phosphoenolpyruvate carboxykinase C-terminal P-loop domain]	1478	404
PF00825 [Ribonuclease P]	3468	667
PF00827 [Ribosomal L15]	10	4
PF00828 [Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A]	5614	1267
PF00829 [Ribosomal prokaryotic L21 protein]	3612	891
PF00830 [Ribosomal L28 family]	2320	458
PF00831 [Ribosomal L29 protein]	3124	810
PF00833 [Ribosomal S17]	7	6
PF00834 [Ribulose-phosphate 3 epimerase family]	5743	1517
PF00842 [Alanine racemase, C-terminal domain]	5095	1110
PF00848 [Ring hydroxylating alpha subunit (catalytic domain)]	18	140
PF00849 [RNA pseudouridylate synthase]	29527	5839
PF00850 [Histone deacetylase domain]	108	30
PF00854 [POT family]	2822	1263
PF00857 [Isochorismatase family]	2234	792
PF00860 [Permease family]	22866	5602
PF00861 [Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast]	4695	1291
PF00866 [Ring hydroxylating beta subunit]	6	64
PF00871 [Acetokinase family]	12349	2823
PF00872 [Transposase, Mutator family]	14440	2529
PF00873 [AcrB/AcrD/AcrF family]	47214	14434
PF00874 [PRD domain]	371	382
PF00875 [DNA photolyase]	6	47
PF00877 [NlpC/P60 family]	4856	1748
PF00881 [Nitroreductase family]	7057	2183
PF00882 [Zinc dependent phospholipase C]	35	39
PF00883 [Cytosol aminopeptidase family, catalytic domain]	7929	325
PF00884 [Sulfatase]	47666	6704
PF00885 [6,7-dimethyl-8-ribityllumazine synthase]	3149	585
PF00886 [Ribosomal protein S16]	3345	878
PF00889 [Elongation factor TS]	8474	2133
PF00890 [FAD binding domain]	16067	4566
PF00891 [O-methyltransferase]	2687	114
PF00892 [EamA-like transporter family]	26369	5485
PF00893 [Small Multidrug Resistance protein]	109	176
PF00899 [ThiF family]	10013	1932
PF00902 [Sec-independent protein translocase protein (TatC)]	2013	951
PF00903 [Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily]	679	243
PF00905 [Penicillin binding protein transpeptidase domain]	26929	6684
