	SRR1927149	SRR1929485
Candidatus Thermoplasmatota	27346	4832
Euryarchaeota	2526	730
Unclassified Archaea	2103	342
Actinobacteria	1122	1864
Armatimonadetes	81	2
Bacteroidetes	7684198	2430441
Caldiserica	42	0
Candidatus Absconditabacteria	0	22
Candidatus Aminicenantes	17	2
Candidatus Fermentibacteria	56	5
Candidatus Hydrogenedentes	68	0
Candidatus Melainabacteria	3476	455
Candidatus Riflebacteria	27	2
Candidatus Sumerlaeota	0	12
Candidatus Sungbacteria	9	2
Chlamydiae	102	45
Chloroflexi	81	45
Cyanobacteria	73	4
Elusimicrobia	148596	5623
Fibrobacteres	60	260
Firmicutes	4997197	1638245
Fusobacteria	6532	49
Kiritimatiellaeota	47537	11368
Lentisphaerae	97567	14658
Nitrospirae	183	87
Planctomycetes	120	24
Proteobacteria	5672081	614126
Spirochaetes	1132358	360769
Synergistetes	33	0
Tenericutes	59559	16417
Unclassified Bacteria	1608153	155527
Verrucomicrobia	5785	376
bacterium 0.1xD8-71 (no phylum in NCBI)	30	0
bacterium 210820-DFI.6.38 (no phylum in NCBI)	12	9
bacterium BFN5 (no phylum in NCBI)	37	3
bacterium F083 (no phylum in NCBI)	1114	0
bacterium J10(2018) (no phylum in NCBI)	191	0
Ascomycota	105	105
Bigyra (no phylum in NCBI)	454	29
Chordata	30	16
Fornicata	208	1
Mucoromycota	10	0
Nematoda	222	54
Phaeophyceae (no phylum in NCBI)	10	0
Streptophyta	312	805
Unclassified Eukaryota	51	0
No CDS	118178	45054
Unclassified	922375	282233
Unmapped	6214675	3687252
Bacteriophage sp. (no phylum in NCBI)	20643	5716
Hofneiviricota	1836	140
Phage sp. ctrsQ3 (no phylum in NCBI)	10	4
Phixviricota	335	3996
Unclassified Viruses	29972	8430
Uroviricota	861724	199453
