	SRR1927149	SRR1929485
COG0001	78.0159874943732	143.369614449236
COG0002	340.521789109068	285.749633823361
COG0003	1.04253881167888	0
COG0004	78.6272547762032	108.255378421408
COG0005	153.000251557174	183.785737769695
COG0006	643.819778513841	535.815463451598
COG0007	23.3778724537499	84.6134721478466
COG0008	975.136533790298	794.985331006756
COG0009	247.649341208931	252.686025140554
COG0010	84.2628556577239	74.332999744344
COG0011	1.01614542404144	1.10120699659616
COG0012	395.002339153674	413.256485995603
COG0013	775.905868113415	702.230280707355
COG0014	318.486004274699	259.352588972479
COG0015	391.316579728999	347.353300852336
COG0016	375.540242158097	332.848786912916
COG0017	504.582406348176	432.209615878308
COG0018	560.86167744562	583.827973553615
COG0019	666.415950592861	381.105012738057
COG0020	290.867083127247	263.967027264879
COG0021	496.884360431326	361.500054877102
COG0022	50.4661364979727	45.7540399810524
COG0023	32.5113999092276	36.9251345305112
COG0024	403.338180628424	293.478983575967
COG0025	33.866221710631	47.807366627691
COG0026	3.00206033999006	12.8707603499323
COG0027	243.037082983436	147.127580349654
COG0028	511.577268955538	445.071904008291
COG0029	342.641492963323	223.130075066978
COG0030	326.728815914396	283.603411194298
COG0031	514.789830733051	392.009317459171
COG0033	131.526301155391	26.6853255895457
COG0034	504.464459860381	427.67089984288
COG0035	255.457081331515	240.429104506933
COG0036	305.284365851552	292.352336877178
COG0037	659.641542903036	438.455942781466
COG0038	264.306811686554	315.952886219475
COG0039	545.400912960146	360.836481644015
COG0040	244.492227413963	178.65572777542
COG0041	265.627786695958	220.999239308394
COG0042	472.037018243792	415.103318432675
COG0043	5.08808782592281	35.9893374736075
COG0044	375.09415006736	285.616304238776
COG0045	82.7240435590247	24.2022694620863
COG0046	977.787569909382	738.632545802337
COG0047	983.369425295635	739.703427628653
COG0048	375.170729066856	368.079347198899
COG0049	404.896491399165	430.47365749002
COG0050	1036.36168505347	951.086034676416
COG0051	363.032743415303	362.96232354038
COG0052	397.804164023935	410.495923340984
COG0053	410.889802461398	356.920897276189
COG0054	198.217470935415	144.457780967956
COG0055	515.816743020997	440.914306082273
COG0056	521.714640789743	480.050907902988
COG0057	508.304800141984	550.397999761515
COG0058	727.183076734199	589.715331920355
COG0059	422.744253538091	258.95149466888
COG0060	941.990235793364	826.689705918319
COG0061	256.582803427898	214.673568663784
COG0062	284.186676310902	204.423403105793
COG0063	283.882626204782	214.112060423161
COG0064	121.045360515371	160.749088601143
COG0065	399.650888280264	257.666316385654
COG0066	237.739939526307	188.070948020089
COG0067	964.212651949061	699.303996046793
COG0068	6.25101396301161	43.4318705011528
COG0069	936.960471917014	720.616648682094
COG0070	982.545426060068	699.984521850601
COG0071	273.337360164275	437.118978694419
COG0072	644.049986277615	537.968691760267
COG0073	1310.04179700395	1270.47958346434
COG0074	97.6555958533647	82.0579666048716
COG0075	82.5925889679414	39.362778944332
COG0076	20.4726821578753	62.0264632375563
COG0077	318.66936343651	255.773157646962
COG0078	430.569853442517	385.700491786594
