	SRR1927149	SRR1929485
Candidatus Methanarcanum hacksteinii	145	0
Unclassified Candidatus Methanarcanum	28	1
Candidatus Methanomethylophilaceae archaeon	116	22
Candidatus Methanomethylophilus alvus	31	0
Unclassified Candidatus Methanomethylophilus	52	8
Unclassified Candidatus Methanomethylophilaceae	2300	417
Unclassified Methanomassiliicoccaceae	52	8
Methanomassiliicoccales archaeon	16211	2959
Unclassified Methanomassiliicoccales	4284	804
Thermoplasmatales archaeon	1	9
Unclassified Thermoplasmatales	32	9
Unclassified Thermoplasmata	2249	312
Unclassified Candidatus Thermoplasmatota	1845	283
Methanobrevibacter smithii	503	145
Methanobrevibacter sp.	12	25
Methanobrevibacter woesei	1	7
Unclassified Methanobrevibacter	1123	467
Unclassified Methanobacteriaceae	96	28
Unclassified Methanobacteriales	167	38
Unclassified Methanomicrobiales	426	18
Unclassified Euryarchaeota	198	2
Unclassified Archaea	2103	342
Unclassified Aeriscardovia	10	0
Bifidobacterium longum	14	14
Bifidobacterium sp.	11	28
Unclassified Bifidobacterium	63	11
Unclassified Bifidobacteriaceae	12	0
Unclassified Bifidobacteriales	7	6
Mycobacterium tuberculosis	25	1442
Unclassified Mycobacterium	29	0
Unclassified Mycobacteriaceae	12	2
Unclassified Corynebacteriales	27	5
Cellulomonas carbonis	39	8
Unclassified Rothia	2	11
Unclassified Actinomycetia	39	29
Unclassified Atopobium	17	0
Unclassified Atopobiaceae	28	0
Collinsella sp.	9	32
Unclassified Collinsella	104	84
Unclassified Coriobacteriaceae	6	0
Unclassified Coriobacteriales	64	35
Cryptobacterium sp.	4	5
Eggerthella sp.	29	10
Unclassified Eggerthella	12	4
Unclassified Paraeggerthella	2	13
Unclassified Eggerthellaceae	23	42
Unclassified Eggerthellales	119	2
Unclassified Coriobacteriia	124	37
Unclassified Thermoleophilia	0	9
Unclassified Actinobacteria	291	35
Unclassified Armatimonadetes	81	2
Bacteroidetes bacterium	77	34
Bacteroidaceae bacterium	1253	410
Bacteroides acidifaciens	141	1
Bacteroides caccae	26	17
Bacteroides eggerthii	4	0
Bacteroides faecis	18	5
Bacteroides finegoldii	336	18
Bacteroides fragilis	525	0
Bacteroides heparinolyticus	40	7
Bacteroides ovatus	68	353
Bacteroides sp.	37718	15543
Bacteroides stercoris	48	61
Bacteroides thetaiotaomicron	176	38
Bacteroides xylanisolvens	92	166
Bacteroides zoogleoformans	23	2
Unclassified Bacteroides	28763	15487
Unclassified Candidatus Caccoplasma	12	0
Phocaeicola coprocola	7	2
Phocaeicola dorei	139	6
Phocaeicola plebeius	0	6
Phocaeicola vulgatus	3217	642
Unclassified Phocaeicola	1113	125
Unclassified Bacteroidaceae	33671	7261
Bacteroidales bacterium	116842	32172
Unclassified Barnesiella	0	11
Unclassified Coprobacter	3	2
Candidatus Cryptobacteroides excrementigallinarum	10	4
Unclassified Candidatus Cryptobacteroides	50	39
Unclassified Duncaniella	14	0
Muribaculaceae bacterium	1381	268
Unclassified Muribaculum	180	31
Unclassified Sodaliphilus	54	16
Unclassified Muribaculaceae	1573	836
Odoribacter splanchnicus	77	4
Unclassified Odoribacter	219	123
Unclassified Odoribacteraceae	83	10
Paludibacteraceae bacterium	1	27
Unclassified Paludibacteraceae	770	79
Porphyromonadaceae bacterium	1836	189
Unclassified Porphyromonas	27	1
Unclassified Porphyromonadaceae	947	97
Alloprevotella sp.	13	0
Unclassified Alloprevotella	362	2
Hallella sp.	2446	46
Unclassified Hallella	39	6
Paraprevotella clara	8	2
Paraprevotella sp.	290	431
Unclassified Paraprevotella	180	93
Candidatus Prevotella stercoripullorum	7	0
Prevotella amnii	15	4
Prevotella bivia	21	9
Prevotella brevis	64	0
Prevotella bryantii	80	78
Prevotella colorans	68	29
Prevotella copri	1054797	734049
Prevotella dentalis	18	0
Prevotella disiens	18	5
Prevotella histicola	49	7
Prevotella hominis	3032	2778
Prevotella ihumii	0	24
Prevotella intermedia	16	0
Prevotella lacticifex	224	84
Prevotella marseillensis	132	95
Prevotella melaninogenica	20	0
Prevotella multiformis	161	8
Prevotella oralis	3	0
Prevotella pectinovora	2517	763
Prevotella ruminicola	7	22
Prevotella salivae	66	49
Prevotella sp.	1486172	84556
Prevotella stercorea	5693	752
Prevotella timonensis	106	25
Unclassified Prevotella	2044209	772294
Prevotellaceae bacterium	7637	3243
Prevotellamassilia sp.	232	348
Prevotellamassilia timonensis	3012	1666
Unclassified Prevotellamassilia	1635	1403
Unclassified Prevotellaceae	277575	30636
Alistipes putredinis	10	0
Alistipes sp.	277329	83757
Unclassified Alistipes	99083	35225
Rikenellaceae bacterium	38095	9297
Unclassified Tidjanibacter	9	19
Unclassified Rikenellaceae	597806	151519
Parabacteroides distasonis	205	42
Parabacteroides goldsteinii	25	4
Parabacteroides massiliensis	70	24
Parabacteroides merdae	1211	65
Parabacteroides sp.	818	146
Parabacteroides timonensis	78	11
Unclassified Parabacteroides	22130	2936
Unclassified Tannerellaceae	1132	180
Unclassified Bacteroidales	1439126	417194
Bacteroidia bacterium	32	74
Unclassified Marinilabiliaceae	15	4
Unclassified Maribellus	13	0
Unclassified Bacteroidia	36829	10009
Unclassified Cytophagales	19	0
Unclassified Flavobacterium	7	0
Unclassified Flavobacteriales	31	5
Unclassified Algoriella	2	7
Unclassified Weeksellaceae	0	14
Unclassified Sphingobacterium	15	0
Unclassified Sphingobacteriaceae	60	135
Unclassified Bacteroidetes	47590	12174
Unclassified Caldisericia	42	0
Unclassified Candidatus Absconditabacteria	0	22
Unclassified Candidatus Aminicenantes	17	2
Unclassified Candidatus Fermentibacteria	56	5
Unclassified Candidatus Hydrogenedentes	68	0
Candidatus Gastranaerophilales bacterium	105	346
Unclassified Candidatus Gastranaerophilales	3096	24
