	SRR1927149	SRR1929485
Thermoplasmata	25501	4549
Unclassified Candidatus Thermoplasmatota	1845	283
Methanobacteria	1902	710
Methanomicrobia	426	18
Unclassified Euryarchaeota	198	2
Unclassified Archaea	2103	342
Actinomycetia	290	1556
Coriobacteriia	541	264
Thermoleophilia	0	9
Unclassified Actinobacteria	291	35
Unclassified Armatimonadetes	81	2
Bacteroidetes bacterium (no class in NCBI)	77	34
Bacteroidia	7636397	2418072
Cytophagia	19	0
Flavobacteriia	40	26
Sphingobacteriia	75	135
Unclassified Bacteroidetes	47590	12174
Caldisericia	42	0
Unclassified Candidatus Absconditabacteria	0	22
Unclassified Candidatus Aminicenantes	17	2
Unclassified Candidatus Fermentibacteria	56	5
Unclassified Candidatus Hydrogenedentes	68	0
Candidatus Gastranaerophilales (no class in NCBI)	3201	370
Candidatus Melainabacteria bacterium (no class in NCBI)	97	0
Unclassified Candidatus Melainabacteria	178	85
Unclassified Candidatus Riflebacteria	27	2
Unclassified Candidatus Sumerlaeota	0	12
Unclassified Candidatus Sungbacteria	9	2
Chlamydiia	102	45
Anaerolineae	13	7
Dehalococcoidia	17	0
Unclassified Chloroflexi	51	38
Unclassified Cyanobacteria	73	4
Candidatus Avelusimicrobium (no class in NCBI)	177	14
Elusimicrobia	136466	3099
Elusimicrobia bacterium (no class in NCBI)	408	227
Unclassified Elusimicrobia	11545	2283
Fibrobacteria	48	254
Unclassified Fibrobacteres	12	6
Bacilli	4174	2874
Clostridia	3768740	1040884
Erysipelotrichia	3819	1963
Firmicutes bacterium (no class in NCBI)	116024	38882
Negativicutes	579813	398344
Tissierellia	74	0
Unclassified Firmicutes	524553	155298
Fusobacteriia	6532	49
Kiritimatiellae	45634	10864
Unclassified Kiritimatiellaeota	1903	504
Lentisphaerae bacterium (no class in NCBI)	124	38
Lentisphaeria	54811	11002
Unclassified Lentisphaerae	42632	3618
Nitrospira	183	87
Planctomycetia	21	4
Unclassified Planctomycetes	99	20
Alphaproteobacteria	70420	84634
Betaproteobacteria	4902	857
Deltaproteobacteria	191	66
Epsilonproteobacteria	16694	7664
Gammaproteobacteria	5013077	511134
Oligoflexia	8	3
Unclassified Proteobacteria	566789	9768
Spirochaetes bacterium (no class in NCBI)	89583	82287
Spirochaetia	1030800	275274
Unclassified Spirochaetes	11975	3208
Synergistia	33	0
Mollicutes	6971	2880
Tenericutes bacterium (no class in NCBI)	41824	3957
Unclassified Tenericutes	10764	9580
Unclassified Bacteria	1608153	155527
Opitutae	1161	2
Unclassified Verrucomicrobia	3644	268
Verrucomicrobia bacterium (no class in NCBI)	276	82
Verrucomicrobiae	704	24
bacterium 0.1xD8-71 (no class in NCBI)	30	0
bacterium 210820-DFI.6.38 (no class in NCBI)	12	9
bacterium BFN5 (no class in NCBI)	37	3
bacterium F083 (no class in NCBI)	1114	0
bacterium J10(2018) (no class in NCBI)	191	0
Saccharomycetes	10	3
Unclassified Ascomycota	95	102
Bigyra	454	29
Unclassified Chordata	30	16
Aduncisulcus (no class in NCBI)	208	1
Glomeromycetes	10	0
Chromadorea	21	4
Enoplea	201	50
Phaeophyceae	10	0
Magnoliopsida	308	803
Unclassified Streptophyta	4	2
Unclassified Eukaryota	51	0
No CDS	118178	45054
Unclassified	922375	282233
Unmapped	6214675	3687252
Bacteriophage sp. (no class in NCBI)	20643	5716
Faserviricetes	1836	140
Phage sp. ctrsQ3 (no class in NCBI)	10	4
Malgrandaviricetes	335	3996
Unclassified Viruses	29972	8430
Caudoviricetes	861724	199453
