	SRR1927149	SRR1929485
COG0001	179054	84732.5
COG0002	595533	118908
COG0003	1877	0
COG0004	102253	35733.5
COG0005	278572	89898
COG0006	1601650	329165
COG0007	47714	48863
COG0008	2347896	490285
COG0009	428256	102652.5
COG0010	159619.5	39154
COG0011	783	209
COG0012	845277	219923
COG0013	1861601	431290
COG0014	660147	128391
COG0015	947987	209447
COG0016	803908	186977
COG0017	1065591	228592
COG0018	1309741	334886
COG0019	1558649.5	241700
COG0020	497415	119445
COG0021	1060811	194469
COG0022	61659.5	15244
COG0023	34092	9089
COG0024	699617	127990
COG0025	66373	24666
COG0026	6482	6610
COG0027	465633	73485
COG0028	1422754	309083
COG0029	856658	143235
COG0030	527086	118641
COG0031	900412	172045
COG0033	489216	28507
COG0034	1129317	251530
COG0035	437662	105720
COG0036	470135	124514
COG0037	1370100	226828
COG0038	583498	168405
COG0039	1004800	170033
COG0040	435359.5	78023
COG0041	318277	67320
COG0042	830107	187440
COG0043	15054	22284
COG0044	831472	157468
COG0045	349785	26448
COG0046	1240427	243914.5
COG0047	1217673	238937.5
COG0048	384071	94237
COG0049	478682	127718
COG0050	1822773	419107
COG0051	288486	74733
COG0052	685157	182215
COG0053	716572	153232
COG0054	247266	45409
COG0055	1104367	240941
COG0056	1150641	260581
COG0057	943416	258886
COG0058	1982754	412431.5
COG0059	842713	130721
COG0060	2334332	533043
COG0061	485432	100291
COG0062	397028	72070
COG0063	406080	76171
COG0064	288620	107612
COG0065	794241	126220
COG0066	294348	57674
COG0067	855772.416666667	158990.25
COG0068	10726	21352
COG0069	888222.416666667	173222.75
COG0070	842693.916666667	151320.75
COG0071	315947	132169
COG0072	855366	187602
COG0073	1698742	416571.5
COG0074	242960	47556
COG0075	198003	26278
COG0076	67929	36119
COG0077	542641	107796.5
COG0078	772369	168158
COG0079	766251.5	153663.5
COG0080	404729	90595
COG0081	714402	162681
COG0082	498090	110161
COG0083	263963	23014
COG0084	685596	159231
COG0085	3440161.5	838733
COG0086	3467045.5	870658
COG0087	582696	142431
COG0088	532412	140746
COG0089	283595	62848
COG0090	743145	190836
COG0091	358617	99894
COG0092	682403	181914
COG0093	353513	95633
COG0094	602142	137607
COG0095	150443	32449
COG0096	395422	99335
COG0097	525441	134794
COG0098	472134	130820
COG0099	359209	102381
COG0100	394703	103243
COG0101	444714	105195
COG0102	407091	99672
COG0103	346552	91333
COG0104	923438	228144
COG0105	135415	22994
COG0106	345233	69703
COG0107	353331.333333333	82431.6666666667
COG0108	293507	69380
COG0109	513	7499
COG0110	782627	241905.5
COG0111	1190483	217946
COG0112	977386	193975.5
COG0113	50761	43945
COG0114	101992	29228
COG0115	1054584	185447
COG0116	630937	127442.5
COG0117	302373	67757.5
COG0118	291494	54721
COG0119	1304998	252737
