	SRR1927149	SRR1929485
Candidatus Methanarcanum (no family in NCBI)	173	1
Candidatus Methanomethylophilaceae	2499	447
Methanomassiliicoccaceae	52	8
Methanomassiliicoccales archaeon (no family in NCBI)	16211	2959
Unclassified Methanomassiliicoccales	4284	804
Thermoplasmatales archaeon (no family in NCBI)	1	9
Unclassified Thermoplasmatales	32	9
Unclassified Thermoplasmata	2249	312
Unclassified Candidatus Thermoplasmatota	1845	283
Methanobacteriaceae	1735	672
Unclassified Methanobacteriales	167	38
Unclassified Methanomicrobiales	426	18
Unclassified Euryarchaeota	198	2
Unclassified Archaea	2103	342
Bifidobacteriaceae	110	53
Unclassified Bifidobacteriales	7	6
Mycobacteriaceae	66	1444
Unclassified Corynebacteriales	27	5
Cellulomonadaceae	39	8
Micrococcaceae	2	11
Unclassified Actinomycetia	39	29
Atopobiaceae	45	0
Coriobacteriaceae	119	116
Unclassified Coriobacteriales	64	35
Eggerthellaceae	70	74
Unclassified Eggerthellales	119	2
Unclassified Coriobacteriia	124	37
Unclassified Thermoleophilia	0	9
Unclassified Actinobacteria	291	35
Unclassified Armatimonadetes	81	2
Bacteroidetes bacterium (no family in NCBI)	77	34
Bacteroidaceae	107390	40150
Bacteroidales bacterium (no family in NCBI)	116842	32172
Barnesiellaceae	3	13
Candidatus Cryptobacteroides (no family in NCBI)	60	43
Muribaculaceae	3202	1151
Odoribacteraceae	379	137
Paludibacteraceae	771	106
Porphyromonadaceae	2810	287
Prevotellaceae	4890924	1633507
Rikenellaceae	1012332	279817
Tannerellaceae	25669	3408
Unclassified Bacteroidales	1439126	417194
Bacteroidia bacterium (no family in NCBI)	32	74
Marinilabiliaceae	15	4
Prolixibacteraceae	13	0
Unclassified Bacteroidia	36829	10009
Unclassified Cytophagales	19	0
Flavobacteriaceae	7	0
Unclassified Flavobacteriales	31	5
Weeksellaceae	2	21
Sphingobacteriaceae	75	135
Unclassified Bacteroidetes	47590	12174
Unclassified Caldisericia	42	0
Unclassified Candidatus Absconditabacteria	0	22
Unclassified Candidatus Aminicenantes	17	2
Unclassified Candidatus Fermentibacteria	56	5
Unclassified Candidatus Hydrogenedentes	68	0
Candidatus Gastranaerophilales bacterium (no family in NCBI)	105	346
Unclassified Candidatus Gastranaerophilales	3096	24
Candidatus Melainabacteria bacterium (no family in NCBI)	97	0
Unclassified Candidatus Melainabacteria	178	85
Unclassified Candidatus Riflebacteria	27	2
Unclassified Candidatus Sumerlaeota	0	12
Unclassified Candidatus Sungbacteria	9	2
Chlamydiaceae	61	40
Unclassified Chlamydiia	41	5
Unclassified Anaerolineales	1	5
Unclassified Anaerolineae	12	2
Unclassified Dehalococcoidia	17	0
Unclassified Chloroflexi	51	38
Unclassified Cyanobacteria	73	4
Candidatus Avelusimicrobium (no family in NCBI)	177	14
Elusimicrobia bacterium (no family in NCBI)	408	227
Elusimicrobiaceae	135238	2769
Unclassified Elusimicrobiales	1228	330
Unclassified Elusimicrobia	11545	2283
Fibrobacteraceae	25	92
Unclassified Fibrobacterales	23	4
Unclassified Fibrobacteria	0	158
Unclassified Fibrobacteres	12	6
Bacillaceae	20	13
Exiguobacterium (no family in NCBI)	12	13
Paenibacillaceae	167	26
Staphylococcaceae	30	21
Unclassified Bacillales	306	41
Bacilli bacterium (no family in NCBI)	363	329
Carnobacteriaceae	36	4
Enterococcaceae	86	63
Lactobacillaceae	109	159
Streptococcaceae	308	664
Unclassified Lactobacillales	102	80
Unclassified Bacilli	2635	1461
Unclassified Candidatus Borkfalkiales	47	0
Candidatus Merdicola (no family in NCBI)	0	13
Clostridia bacterium (no family in NCBI)	10484	3073
Candidatus Avimonoglobus (no family in NCBI)	9	0
Candidatus Faecivicinus (no family in NCBI)	12	0
Candidatus Faecousia (no family in NCBI)	32	3
Candidatus Fimimorpha (no family in NCBI)	29	0
Candidatus Limiplasma (no family in NCBI)	36	10
Candidatus Pelethousia (no family in NCBI)	44	3
Candidatus Scatomorpha (no family in NCBI)	382	28
Christensenellaceae	7898	178
Clostridiaceae	78795	44992
Clostridiales bacterium (no family in NCBI)	91426	17822
Colidextribacter (no family in NCBI)	162	4
Desulfallaceae	26	7
Eubacteriaceae	23343	31777
Eubacteriales Family XIII. Incertae Sedis	920	153
Eubacteriales bacterium (no family in NCBI)	829	121
Evtepia (no family in NCBI)	1	2
Feifaniaceae	21	5
Flintibacter (no family in NCBI)	101	2
Gemmiger (no family in NCBI)	669	66
Intestinimonas (no family in NCBI)	557	262
Lachnospiraceae	532890	77602
Lawsonibacter (no family in NCBI)	333	97
Oscillospiraceae	787802	314683
Peptococcaceae	55	26
Peptostreptococcaceae	887	548
Pumilibacteraceae	9	0
Unclassified Eubacteriales	1960369	436428
Yeguiaceae	455	136
Thermoanaerobacterales Family IV. Incertae Sedis	27	2
Unclassified Clostridia	270090	112841
Coprobacillaceae	878	52
Erysipelotrichaceae	2168	1722
Unclassified Erysipelotrichales	717	171
Unclassified Erysipelotrichia	56	18
Firmicutes bacterium (no family in NCBI)	116024	38882
Acidaminococcaceae	355731	49616
Unclassified Acidaminococcales	1371	142
Negativicutes bacterium (no family in NCBI)	15	2
Selenomonadaceae	25062	24081
Selenomonadales bacterium (no family in NCBI)	1109	17
Unclassified Selenomonadales	6584	4598
Unclassified Negativicutes	124848	102893
Unclassified Veillonellales	68	35
Veillonellaceae	65025	216960
Peptoniphilaceae	48	0
Unclassified Tissierellia	26	0
Unclassified Firmicutes	524553	155298
Fusobacteriaceae	6517	49
Leptotrichiaceae	15	0
Kiritimatiellae bacterium (no family in NCBI)	9460	2576
Unclassified Kiritimatiellae	36174	8288
Unclassified Kiritimatiellaeota	1903	504
Lentisphaerae bacterium (no family in NCBI)	124	38
Lentisphaeraceae	23	5
Lentisphaeria bacterium (no family in NCBI)	2551	7268
Unclassified Lentisphaeria	15893	2296
Unclassified Victivallales	33372	1128
Victivallaceae	223	105
Victivallales bacterium (no family in NCBI)	2749	200
Unclassified Lentisphaerae	42632	3618
Nitrospiraceae	183	87
Unclassified Planctomycetia	21	4
