	SRR1927149	SRR1929485
COG0001	217.0325	114.3785
COG0002	848.207	251.001
COG0003	4.063	0
COG0004	108.737	44.381
COG0005	473.481	161.39
COG0006	1401.778	462.871
COG0007	45.33	43.1855
COG0008	2257.492	668.381
COG0009	720.6055	208.3265
COG0010	253.4185	57.948
COG0011	3.304	0.882
COG0012	1058.66	351.65
COG0013	1512.482	594.45
COG0014	764.789	226.436
COG0015	966.796	297.851
COG0016	975.756	308.14
COG0017	1162.167	365.521
COG0018	1292.845	519.918
COG0019	1593.9365	320.674
COG0020	788.03	237.301
COG0021	897.772	326.694
COG0022	56.5585	11.9375
COG0023	86.365	32.514
COG0024	1077.018	247.503
COG0025	118.344	32.505
COG0026	12.879	8.247
COG0027	527.286	124.781
COG0028	1276.497	361.552
COG0029	705.682	174.707
COG0030	819.8	230.938
COG0031	1271.653	331.69
COG0033	316.929	19.866
COG0034	1232.028	375.857
COG0035	739.607	209.234
COG0036	834.828999999999	230.776
COG0037	1588.217	368.401
COG0038	625.824	236.076
COG0039	1308.221	288.788
COG0040	598.968	149.706
COG0041	722.168	182.885
COG0042	1157.453	350.009
COG0043	14.624	29.432
COG0044	859.752	252.211
COG0045	303.793	22.307
COG0046	866.6095	342.807
COG0047	839.4135	332.79
COG0048	1099.445	286.239
COG0049	1145.599	341.24
COG0050	2563.854	769.779
COG0051	1012.429	277.774
COG0052	1093.351	338.424
COG0053	1037.995	294.059
COG0054	538.563	113.873
COG0055	1125.534	340.484
COG0056	1098.783	387.685
COG0057	1281.464	456.236
COG0058	1545.899	510.9
COG0059	850.369	194.676
COG0060	1898.205	690.054
COG0061	694.445	187.661
COG0062	327.2165	91.2885
COG0063	339.2265	96.7545
COG0064	317.008	118.205
COG0065	867.87	217.69
COG0066	612.075	163.967
COG0067	536.889916666666	224.61225
COG0068	27.481	32.787
COG0069	560.699916666667	247.56375
COG0070	520.152416666667	216.32025
COG0071	834.249	344.448
COG0072	682.348999999999	253.3335
COG0073	1526.85	607.616
COG0074	289.31	63.701
COG0075	237.851	34.144
COG0076	56.566	43.593
COG0077	649.817	207.378
COG0078	1116.614	325.734
COG0079	911.895	245.479
COG0080	1086.853	260.891
COG0081	1270.981	332.635
COG0082	631.744	176.085
COG0083	284.603	28.132
COG0084	1036.789	305.587
COG0085	2153.6965	941.859
COG0086	2169.0825	892.488
COG0087	1034.582	280.383
COG0088	1063.051	301.836
COG0089	1003.289	241.531
COG0090	1184.591	354.889
COG0091	1022.579	296.249
COG0092	1119.738	366.243
COG0093	1039.992	290.892
COG0094	1298.092	330.567
COG0095	235.525	61.915
COG0096	1116.28	305.478
COG0097	1096.08	295.835
COG0098	1047.781	321.442
COG0099	1070.241	321.596
COG0100	1099.339	304.331
COG0101	702.376	198.351
COG0102	1007.037	262.777
COG0103	991.479	272.361
COG0104	971.525	329.446
COG0105	318.725	53.532
COG0106	530.5455	141.021
COG0107	530.218666666667	162.859333333333
COG0108	447.144	137.5825
COG0109	0.576	8.416
COG0110	1507.3145	475.9585
COG0111	1357.409	329.904
COG0112	1074.0295	295.9935
COG0113	100.009	75.132
COG0114	106.978	39.908
COG0115	1430.556	347.746
COG0116	546.248	191.1405
COG0117	331.362	87.283
COG0118	513.854	120.12
COG0119	1369.145	396.943
COG0120	235.627	37.644
COG0121	7.625	10.267
COG0122	320.989	92.146
COG0123	16.25	3.86
COG0124	934.434	268.406
COG0125	573.157	119.327
COG0126	1181.285	372.6775
COG0127	767.843	236.855
