	SRR1927149	SRR1929485
Methanomassiliicoccales	23219	4219
Thermoplasmatales	33	18
Unclassified Thermoplasmata	2249	312
Unclassified Candidatus Thermoplasmatota	1845	283
Methanobacteriales	1902	710
Methanomicrobiales	426	18
Unclassified Euryarchaeota	198	2
Unclassified Archaea	2103	342
Bifidobacteriales	117	59
Corynebacteriales	93	1449
Micrococcales	41	19
Unclassified Actinomycetia	39	29
Coriobacteriales	228	151
Eggerthellales	189	76
Unclassified Coriobacteriia	124	37
Unclassified Thermoleophilia	0	9
Unclassified Actinobacteria	291	35
Unclassified Armatimonadetes	81	2
Bacteroidetes bacterium (no order in NCBI)	77	34
Bacteroidales	7599508	2407985
Bacteroidia bacterium (no order in NCBI)	32	74
Marinilabiliales	28	4
Unclassified Bacteroidia	36829	10009
Cytophagales	19	0
Flavobacteriales	40	26
Sphingobacteriales	75	135
Unclassified Bacteroidetes	47590	12174
Unclassified Caldisericia	42	0
Unclassified Candidatus Absconditabacteria	0	22
Unclassified Candidatus Aminicenantes	17	2
Unclassified Candidatus Fermentibacteria	56	5
Unclassified Candidatus Hydrogenedentes	68	0
Candidatus Gastranaerophilales	3201	370
Candidatus Melainabacteria bacterium (no order in NCBI)	97	0
Unclassified Candidatus Melainabacteria	178	85
Unclassified Candidatus Riflebacteria	27	2
Unclassified Candidatus Sumerlaeota	0	12
Unclassified Candidatus Sungbacteria	9	2
Chlamydiales	61	40
Unclassified Chlamydiia	41	5
Anaerolineales	1	5
Unclassified Anaerolineae	12	2
Unclassified Dehalococcoidia	17	0
Unclassified Chloroflexi	51	38
Unclassified Cyanobacteria	73	4
Candidatus Avelusimicrobium (no order in NCBI)	177	14
Elusimicrobia bacterium (no order in NCBI)	408	227
Elusimicrobiales	136466	3099
Unclassified Elusimicrobia	11545	2283
Fibrobacterales	48	96
Unclassified Fibrobacteria	0	158
Unclassified Fibrobacteres	12	6
Bacillales	535	114
Bacilli bacterium (no order in NCBI)	363	329
Lactobacillales	641	970
Unclassified Bacilli	2635	1461
Candidatus Borkfalkiales	47	0
Candidatus Merdicola (no order in NCBI)	0	13
Clostridia bacterium (no order in NCBI)	10484	3073
Eubacteriales	3488092	924955
Thermoanaerobacterales	27	2
Unclassified Clostridia	270090	112841
Erysipelotrichales	3763	1945
Unclassified Erysipelotrichia	56	18
Firmicutes bacterium (no order in NCBI)	116024	38882
Acidaminococcales	357102	49758
Negativicutes bacterium (no order in NCBI)	15	2
Selenomonadales	32755	28696
Unclassified Negativicutes	124848	102893
Veillonellales	65093	216995
Tissierellales	48	0
Unclassified Tissierellia	26	0
Unclassified Firmicutes	524553	155298
Fusobacteriales	6532	49
Kiritimatiellae bacterium (no order in NCBI)	9460	2576
Unclassified Kiritimatiellae	36174	8288
Unclassified Kiritimatiellaeota	1903	504
Lentisphaerae bacterium (no order in NCBI)	124	38
Lentisphaerales	23	5
Lentisphaeria bacterium (no order in NCBI)	2551	7268
Unclassified Lentisphaeria	15893	2296
Victivallales	36344	1433
Unclassified Lentisphaerae	42632	3618
Nitrospirales	183	87
Unclassified Planctomycetia	21	4
Unclassified Planctomycetes	99	20
Alphaproteobacteria bacterium (no order in NCBI)	8568	11790
Candidatus Enterousia (no order in NCBI)	0	28
Hyphomicrobiales	7971	1387
Rhodobacterales	0	42
Rhodospirillales	6867	731
Rickettsiales	9	0
Unclassified Alphaproteobacteria	47005	70656
Burkholderiales	4605	844
Unclassified Betaproteobacteria	297	13
Desulfobacterales	27	4
Desulfovibrionales	45	50
Myxococcales	56	6
Unclassified Deltaproteobacteria	63	6
Campylobacterales	16024	7394
Unclassified Epsilonproteobacteria	670	270
Aeromonadales	2726653	52747
Alteromonadales	759	306
Enterobacterales	70695	439930
Legionellales	121	10
Moraxellales	674	274
Oceanospirillales	33	7
Pasteurellales	1375	431
Pseudomonadales	21	2
Unclassified Gammaproteobacteria	2212669	17381
Vibrionales	49	13
Xanthomonadales	28	33
Unclassified Oligoflexia	8	3
Unclassified Proteobacteria	566789	9768
Spirochaetes bacterium (no order in NCBI)	89583	82287
Brachyspirales	39988	29708
Spirochaetales	845348	231853
Spirochaetia bacterium (no order in NCBI)	23921	4474
Unclassified Spirochaetia	121543	9239
Unclassified Spirochaetes	11975	3208
Synergistales	33	0
Acholeplasmatales	149	35
Anaeroplasmatales	17	0
Mollicutes bacterium (no order in NCBI)	2881	6
Mycoplasmatales	3643	2723
Unclassified Mollicutes	281	116
Tenericutes bacterium (no order in NCBI)	41824	3957
Unclassified Tenericutes	10764	9580
Unclassified Bacteria	1608153	155527
Opitutales	801	1
Puniceicoccales	61	0
Unclassified Opitutae	299	1
Unclassified Verrucomicrobia	3644	268
Verrucomicrobia bacterium (no order in NCBI)	276	82
Unclassified Verrucomicrobiae	12	0
Verrucomicrobiales	692	24
bacterium 0.1xD8-71 (no order in NCBI)	30	0
bacterium 210820-DFI.6.38 (no order in NCBI)	12	9
bacterium BFN5 (no order in NCBI)	37	3
bacterium F083 (no order in NCBI)	1114	0
bacterium J10(2018) (no order in NCBI)	191	0
Saccharomycetales	10	3
Unclassified Ascomycota	95	102
Opalinata	454	29
Unclassified Chordata	30	16
Aduncisulcus (no order in NCBI)	208	1
Glomerales	10	0
Rhabditida	21	4
Trichinellida	201	50
Ectocarpales	10	0
Fabales	1	49
Poales	259	743
Unclassified Magnoliopsida	48	11
Unclassified Streptophyta	4	2
Unclassified Eukaryota	51	0
No CDS	118178	45054
Unclassified	922375	282233
Unmapped	6214675	3687252
Bacteriophage sp. (no order in NCBI)	20643	5716
Tubulavirales	1836	140
Phage sp. ctrsQ3 (no order in NCBI)	10	4
Petitvirales	335	3996
Unclassified Viruses	29972	8430
Caudovirales	790318	198703
Crassvirales	53902	525
Unclassified Caudoviricetes	17504	225
