	SRR1927149	SRR1929485
PF00004 [ATPase family associated with various cellular activities (AAA)]	2579.70840714286	652.119219047619
PF00005 [ABC transporter]	19335.02725	4967.0675
PF00006 [ATP synthase alpha/beta family, nucleotide-binding domain]	1735.22191666667	427.29275
PF00009 [Elongation factor Tu GTP binding domain]	4223.10498333334	1471.06958333333
PF00011 [Hsp20/alpha crystallin family]	707.269	282.211
PF00012 [Hsp70 protein]	1403.53416666667	569.791333333334
PF00013 [KH domain]	109.329883333333	38.07415
PF00015 [Methyl-accepting chemotaxis protein (MCP) signalling domain]	2156.28516666667	401.6345
PF00016 [Ribulose bisphosphate carboxylase large chain, catalytic domain]	2.802	5.275
PF00022 [Actin]	10.1031666666667	4.94783333333333
PF00023 [Ankyrin repeat]	71.3792833333333	29.74165
PF00027 [Cyclic nucleotide-binding domain]	426.670666666667	81.534
PF00030 [Beta/Gamma crystallin]	1.5836	0.1642
PF00033 [Cytochrome b/b6/petB]	1.225	0.227
PF00034 [Cytochrome c]	0.616666666666667	3.931
PF00035 [Double-stranded RNA binding motif]	192.404	27.1806666666667
PF00036 [EF hand]	41.42225	0.2895
PF00037 [4Fe-4S binding domain]	1418.26503214286	359.594103571429
PF00041 [Fibronectin type III domain]	249.547666666667	4.60066666666667
PF00042 [Globin]	0.525	3.337
PF00043 [Glutathione S-transferase, C-terminal domain]	1.9295	10.481
PF00044 [Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain]	611.186	189.758
PF00056 [lactate/malate dehydrogenase, NAD binding domain]	587.95	113.8195
PF00059 [Lectin C-type domain]	25.0612	1.8242
PF00069 [Protein kinase domain]	746.3465	186.6825
PF00070 [Pyridine nucleotide-disulphide oxidoreductase]	620.860166666666	128.97425
PF00072 [Response regulator receiver domain]	7309.11468333333	2125.29278333333
PF00075 [RNase H]	536.253	90.884
PF00076 [RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)]	274.579	6.593
PF00078 [Reverse transcriptase (RNA-dependent DNA polymerase)]	1204.3355	390.854
PF00079 [Serpin (serine protease inhibitor)]	265.739	84.042
PF00080 [Copper/zinc superoxide dismutase (SODC)]	18.749	7.435
PF00081 [Iron/manganese superoxide dismutases, alpha-hairpin domain]	107.49	8.471
PF00082 [Subtilase family]	1357.49375	196.75575
PF00083 [Sugar (and other) transporter]	503.758	195.54
PF00085 [Thioredoxin]	1185.25533333333	322.541583333333
PF00089 [Trypsin]	183.91735	43.2450333333333
PF00091 [Tubulin/FtsZ family, GTPase domain]	486.1535	134.1475
PF00092 [von Willebrand factor type A domain]	403.430866666667	87.2326833333333
PF00106 [short chain dehydrogenase]	1362.87468333333	429.271966666667
PF00107 [Zinc-binding dehydrogenase]	237.525333333333	116.8625
PF00108 [Thiolase, N-terminal domain]	109.507	76.1275
PF00109 [Beta-ketoacyl synthase, N-terminal domain]	907.227	164.8575
PF00111 [2Fe-2S iron-sulfur cluster binding domain]	59.9533333333333	54.4036666666667
PF00112 [Papain family cysteine protease]	63.5726666666667	27.2455
PF00113 [Enolase, C-terminal TIM barrel domain]	529.151	185.5945
PF00115 [Cytochrome C and Quinol oxidase polypeptide I]	5.215	8.976
PF00117 [Glutamine amidotransferase class-I]	2307.04575	566.698916666667
PF00118 [TCP-1/cpn60 chaperonin family]	1235.917	401.705
PF00119 [ATP synthase A chain]	867.55	224.016
PF00120 [Glutamine synthetase, catalytic domain]	535.165833333333	151.796666666667
PF00121 [Triosephosphate isomerase]	877.6955	241.0595
PF00122 [E1-E2 ATPase]	1125.56613333333	396.71775
PF00126 [Bacterial regulatory helix-turn-helix protein, lysR family]	1255.95066666667	537.762
PF00128 [Alpha amylase, catalytic domain]	3957.65683333333	683.868833333333
PF00132 [Bacterial transferase hexapeptide (six repeats)]	1911.44616666667	452.6435
PF00133 [tRNA synthetases class I (I, L, M and V)]	2204.49041666667	831.459
PF00135 [Carboxylesterase family]	504.0665	152.5985
PF00136 [DNA polymerase family B]	13.594	4.4935
PF00137 [ATP synthase subunit C]	473.262	151.567
PF00139 [Legume lectin domain]	14.777	0
PF00140 [Sigma-70 factor, region 1.2]	157.273083333333	59.9007166666667
PF00141 [Peroxidase]	0.799	8.578
PF00142 [4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family]	62.5468333333333	20.4559666666667
PF00144 [Beta-lactamase]	528.147	237.6375
PF00145 [C-5 cytosine-specific DNA methylase]	1997.82166666667	369.763
PF00146 [NADH dehydrogenase]	323.61	150.028
PF00148 [Nitrogenase component 1 type Oxidoreductase]	151.259	50.252
PF00149 [Calcineurin-like phosphoesterase]	1940.59775	281.371083333333
PF00150 [Cellulase (glycosyl hydrolase family 5)]	684.824166666667	234.565333333333
PF00152 [tRNA synthetases class II (D, K and N) ]	2328.867	713.095999999999
PF00154 [recA bacterial DNA recombination protein]	758.8155	309.3675
PF00155 [Aminotransferase class I and II]	4809.46833333333	1104.49033333333
PF00156 [Phosphoribosyl transferase domain]	1600.65716666667	325.734666666666
PF00158 [Sigma-54 interaction domain]	904.656702380953	342.81944047619
PF00160 [Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD]	964.925	258.887
PF00162 [Phosphoglycerate kinase]	1147.1525	362.8665
PF00163 [Ribosomal protein S4/S9 N-terminal domain]	491.253	123.3415
PF00164 [Ribosomal protein S12/S23]	1026.951	252.671
PF00165 [Bacterial regulatory helix-turn-helix proteins, AraC family]	1491.87248333333	520.305133333333
PF00166 [Chaperonin 10 Kd subunit]	788.382	194.843
PF00171 [Aldehyde dehydrogenase family]	558.4615	211.102666666667
PF00174 [Oxidoreductase molybdopterin binding domain]	0.84	8.356
PF00175 [Oxidoreductase NAD-binding domain ]	470.225666666667	73.9076666666667
PF00176 [SNF2 family N-terminal domain]	487.962783333333	105.046416666667
PF00177 [Ribosomal protein S7p/S5e]	1115.609	325.91
PF00180 [Isocitrate/isopropylmalate dehydrogenase]	1496.504	408.213
PF00181 [Ribosomal Proteins L2, RNA binding domain]	529.242	140.3055
PF00183 [Hsp90 protein]	617.795833333333	146.6805
PF00185 [Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain]	872.151833333333	220.712666666667
PF00186 [Dihydrofolate reductase]	573.119	106.806
PF00188 [Cysteine-rich secretory protein family]	85.4298333333333	22.96
PF00189 [Ribosomal protein S3, C-terminal domain]	505.215	152.952
PF00195 [Chalcone and stilbene synthases, N-terminal domain]	4.512	0.401
PF00196 [Bacterial regulatory proteins, luxR family]	1081.8905	375.7835
PF00198 [2-oxoacid dehydrogenases acyltransferase (catalytic domain)]	83.505	33.7086666666667
PF00199 [Catalase]	0.343333333333333	2.657
PF00202 [Aminotransferase class-III]	1441.711	412.786
PF00203 [Ribosomal protein S19]	1005.081	265.518
PF00204 [DNA gyrase B]	698.621733333333	226.741216666667
PF00205 [Thiamine pyrophosphate enzyme, central domain]	317.762	89.7423333333333
PF00206 [Lyase]	1165.271	393.347
