	SRR1927149	SRR1929485
K00001	180.145	37.361
K00002	20.666	19.935
K00003	271.082	111.348
K00004	22.106	13.81
K00005	46.56	52.811
K00007	2.062	11.553
K00008	171.434	74.049
K00009	54.168	28.544
K00010	300.4325	148.8355
K00011	19.171	36.587
K00012	1064.109	346.8
K00013	688.771	208.083
K00014	699.405	191.121
K00015	47.118	9.261
K00016	563.648	122.07
K00018	374.907	145.99
K00019	42.843	3.989
K00020	30.959	11.146
K00023	20.572	0
K00024	741.851	168.312
K00027	227.163	66.471
K00029	566.363	130.644
K00030	30.374	17.613
K00031	826.895	242.804
K00033	46.523	25.28
K00034	18.622	32.928
K00036	3.469	9.375
K00038	21.7	9.746
K00039	0.789	6.345
K00040	305.548	165.1
K00041	330.887	151.081
K00042	27.815	40.66
K00044	17.303	4.492
K00045	185.932	59.932
K00046	430.576	153.01
K00048	176.06	91.925
K00052	817.76	226.93
K00053	847.807	193.77
K00057	723.212	221.921
K00058	960.134	251.24
K00059	1681.921	486.593
K00060	106.496	54.121
K00061	1.301	6.738
K00065	28.34	37.487
K00066	3.139	0
K00067	885.96	153.082
K00068	82.896	40.592
K00073	15.677	14.133
K00074	240.132	102.195
K00075	699.162	251.036
K00076	77.419	29.886
K00077	593.95	124.405
K00078	125.797	29.568
K00086	25.082	6.015
K00087	145.914	53.797
K00088	1099.821	329.623
K00090	0.889	9.705
K00091	166.048	53.136
K00094	0.324	3.58
K00096	176.523	49.544
K00097	545.241	125.063
K00099	846.943	263.741
K00100	63.168	4.317
K00101	31.379	16.909
K00102	1.244	3.194
K00104	530.498	72.362
K00106	4.731	1.871
K00108	0.401	7.132
K00111	319.851	144.743
K00112	76.066	32.69
K00113	101.854	36.122
K00116	4.769	11.139
K00117	10.108	29.337
K00118	12.193	1.081
K00121	2.295	21.263
K00122	3.961	13.662
K00123	171.199	101.986
K00124	21.057	36.618
K00125	89.95	10.94
K00127	4.957	9.779
K00128	150.477	69.428
K00130	17.229	13.412
K00132	4.983	1.405
K00133	1106.503	312.895
K00134	1271.923	442.606
K00135	11.506	8.509
K00137	1.06	6.239
K00138	12.677	16.192
K00140	16.327	22.258
K00145	848.477	251.001
K00146	0.699	7.117
K00147	763.976	216.705
K00150	7.202	1.765
K00153	2.328	3.656
K00154	2.098	1.459
K00156	1.531	12.635
K00157	4.972	4.943
K00158	1.312	2.952
K00161	2.943	1.848
K00163	3.817	11.271
K00164	3.248	16.691
K00169	139.597	42.018
K00170	118.108	12.64
K00171	58.43	13.428
K00172	124.248	20.928
K00174	746.592	274.639
K00175	655.993	211.215
K00176	378.331	132.289
K00177	441.613	134.251
K00179	383.373	116.299
K00180	279.585	72.643
K00185	1.044	8.598
K00186	25.9	3.912
K00187	19.226	4.156
K00188	15.01	4.494
K00194	5.246	2.126
K00196	35.164	2.757
K00197	10.108	1.234
K00198	155.155	21.104
K00208	290.454	152.663
K00209	352.208	22.131
K00210	172.024	60.05
K00214	6.75	2.337
K00215	729.238	228.526
K00216	5.034	10.485
K00219	64.929	68.563
K00220	6.71	3.054
K00226	18.989	0.538
K00228	1.514	5.826
K00230	21.277	15.332
K00231	49.498	43.312
K00239	600.87	250.586
K00240	364.016	152.509
K00241	371.502	161.364
K00242	1.807	10.368
K00243	540.637	144.38
K00244	379.41	81.712
K00245	304.103	15.681
K00246	344.362	13.776
K00247	276.782	10.621
K00248	303.374	144.398
K00249	239.125	89.946
K00251	6.732	0
K00252	2.47	4.451
K00253	5.355	0
K00254	309.647	36.797
K00259	126.104	86.088
K00260	29.075	14.721
K00261	45.671	13.47
K00262	1029.948	314.324
K00263	4.134	0.789
K00264	4.128	0.784
K00265	1124.115	501.575
K00266	1423.481	470.035
K00275	237.767	15.388
K00276	1.029	8.195
K00278	707.566	188.931
K00281	11.239	15.921
K00282	214.847	55.982
K00283	191.464	46.582
K00284	393.862	138.165
K00285	1.445	4.898
K00286	663.788	168.087
K00287	600.085	124.709
K00290	467.068	212.347
K00297	627.07	173.415
K00298	4.573	6.712
K00299	14.168	17.071
K00302	218.998	85.58
K00303	31.592	8.139
K00313	8.928	42.642
K00319	3.08	0.338
K00322	6.677	7.912
K00324	347.26	20.493
K00325	359.169	15.745
K00329	5.945	2.7125
K00330	176.217	62.174
K00331	247.981	106.403
K00332	10.734	6.119
K00333	15.386	7.867
K00334	171.065	59.582
K00335	482.336	107.165
K00336	348.217	116.26
K00337	312.068	126.037
K00338	240.966	86.782
K00339	216.617	75.785
K00340	158.53	58.523
K00341	525.554	252.857
K00342	457.234	200.994
K00343	344.881	139.525
K00344	314.326	48.635
K00346	593.671	125.156
K00347	754.597	160.585
K00348	571.561	92.693
K00349	616.152	80.772
K00350	641.851	102.685
K00351	686.157	151.526
K00354	9.277	3.78
K00355	11.337	10.693
K00356	5.945	2.7125
K00360	5.357	0.132
K00362	10.533	12.513
K00363	1.003	7.566
K00364	20.841	18.395
K00366	23.838	8.528
K00370	4.463	48.728
K00371	2.749	20.973
K00373	2.087	18.649
K00374	1.617	13.062
K00375	204.436	69.978
K00380	1.151	12.289
K00381	0.876	6.635
K00382	514.69	61.298
K00383	0.492	9.34
K00384	936.119	261.68
K00385	12.911	9.253
K00389	3.683	8.146
K00390	238.064	108.846
K00392	60.444	33.664
K00394	31.676	27.26
K00395	50.924	26.315
K00399	8.582	2.644
K00400	5.093	0.683
K00401	5	0
K00402	4.897	2.727
K00404	6.606	0.837
K00405	2.949	1.143
K00406	4.42	2.344
K00411	3.757	0.333
K00412	5.144	0.454
K00413	4.792	1.541
K00425	312.08	183.142
K00426	312.89	181.73
K00427	1.809	10.082
K00428	3.702	12.861
K00432	162.167	59.556
K00433	35.185	0.436
K00436	2.277	0
K00450	4.065	0
K00459	80.417	41.727
K00484	1.663	2.82
K00521	7.61	0
K00525	712.536	134.668
K00526	48.451	33.343
K00528	375.707	125.399
K00529	0.453	6.697
K00533	362.682	117.073
K00537	228.896	134.562
K00547	21.492	18.644
K00548	1138.766	427.64
K00549	672.819	189.226
K00552	3.068	1.094
K00554	890.251	220.516
K00556	105.484	42.346
K00557	280.197	17.02
K00558	3159.882	643.541
K00559	99.824	39.533
K00560	909.98	252.067
K00561	0.001	12.634
K00563	36.699	44.423
K00564	53.242	16.153
K00566	789.952	226.816
K00567	681.459	139.924
K00568	139.404	32.497
K00570	11.868	1.378
K00571	1456.898	421.71
K00573	15.993	9.224
K00574	57.091	31.81
K00575	413.14	40.76
K00584	5.5	0
K00587	17.32	18.844
K00588	257.89	101.067
K00590	233.014	128.146
K00591	17.488	1.091
K00595	138.464	31.859
K00598	54.265	25.626
K00600	1065.366	296.432
K00602	1104.967	327.491
K00603	49.52	8.24
K00604	768.406	222.558
K00605	257.714	84.224
K00606	503.748	98.206
K00609	830.669	232.615
K00610	543.815	112.289
K00611	666.804	139.218
K00612	23.774	0.937
K00615	1821.11	665.108000000001
K00616	183.869	49.03
K00619	51.43	22.997
K00620	200.546	71.416
K00621	84.778	21.986
K00625	569.201	234.191
K00626	187.489	100.677
K00627	121.073	53.114
K00631	304.622	32.554
K00632	1.82	21.45
K00633	81.589	34.343
K00634	412.651	90.37
K00638	77.321	30.652
K00639	240.916	84.442
K00640	1072.021	372.285
K00641	78.219	27.552
K00645	670.283	220.962
K00647	736.27	118.911
K00648	879.316	176.288
K00651	557.177	111.756
K00652	576.003	130.8355
K00655	793.655	252.499
K00656	1231.918	380.139
K00657	340.515	78.603
K00658	0.726	6.297
K00661	771.774	224.595
K00662	34.146	6.137
K00663	23.901	1.657
K00666	224.097	62.686
K00670	6.895	0
K00673	0.738	16.61
K00674	339.293	29.305
K00675	19.24	8.997
K00677	934.335	229.271
K00681	276.134	31.748
K00683	117.164	35.629
K00684	150.89	63.834
K00687	2.975	0
K00688	1446.485	477.299
K00689	0.456	2.203
K00690	33.684	25.284
