	SRR1927149	SRR1929485
Candidatus Methanarcanum	173	1
Candidatus Methanomethylophilaceae archaeon (no genus in NCBI)	116	22
Candidatus Methanomethylophilus	83	8
Unclassified Candidatus Methanomethylophilaceae	2300	417
Unclassified Methanomassiliicoccaceae	52	8
Methanomassiliicoccales archaeon (no genus in NCBI)	16211	2959
Unclassified Methanomassiliicoccales	4284	804
Thermoplasmatales archaeon (no genus in NCBI)	1	9
Unclassified Thermoplasmatales	32	9
Unclassified Thermoplasmata	2249	312
Unclassified Candidatus Thermoplasmatota	1845	283
Methanobrevibacter	1639	644
Unclassified Methanobacteriaceae	96	28
Unclassified Methanobacteriales	167	38
Unclassified Methanomicrobiales	426	18
Unclassified Euryarchaeota	198	2
Unclassified Archaea	2103	342
Aeriscardovia	10	0
Bifidobacterium	88	53
Unclassified Bifidobacteriaceae	12	0
Unclassified Bifidobacteriales	7	6
Mycobacterium	54	1442
Unclassified Mycobacteriaceae	12	2
Unclassified Corynebacteriales	27	5
Cellulomonas	39	8
Rothia	2	11
Unclassified Actinomycetia	39	29
Atopobium	17	0
Unclassified Atopobiaceae	28	0
Collinsella	113	116
Unclassified Coriobacteriaceae	6	0
Unclassified Coriobacteriales	64	35
Cryptobacterium	4	5
Eggerthella	41	14
Paraeggerthella	2	13
Unclassified Eggerthellaceae	23	42
Unclassified Eggerthellales	119	2
Unclassified Coriobacteriia	124	37
Unclassified Thermoleophilia	0	9
Unclassified Actinobacteria	291	35
Unclassified Armatimonadetes	81	2
Bacteroidetes bacterium (no genus in NCBI)	77	34
Bacteroidaceae bacterium (no genus in NCBI)	1253	410
Bacteroides	67978	31698
Candidatus Caccoplasma	12	0
Phocaeicola	4476	781
Unclassified Bacteroidaceae	33671	7261
Bacteroidales bacterium (no genus in NCBI)	116842	32172
Barnesiella	0	11
Coprobacter	3	2
Candidatus Cryptobacteroides	60	43
Duncaniella	14	0
Muribaculaceae bacterium (no genus in NCBI)	1381	268
Muribaculum	180	31
Sodaliphilus	54	16
Unclassified Muribaculaceae	1573	836
Odoribacter	296	127
Unclassified Odoribacteraceae	83	10
Paludibacteraceae bacterium (no genus in NCBI)	1	27
Unclassified Paludibacteraceae	770	79
Porphyromonadaceae bacterium (no genus in NCBI)	1836	189
Porphyromonas	27	1
Unclassified Porphyromonadaceae	947	97
Alloprevotella	375	2
Hallella	2485	52
Paraprevotella	478	526
Prevotella	4597495	1595631
Prevotellaceae bacterium (no genus in NCBI)	7637	3243
Prevotellamassilia	4879	3417
Unclassified Prevotellaceae	277575	30636
Alistipes	376422	118982
Rikenellaceae bacterium (no genus in NCBI)	38095	9297
Tidjanibacter	9	19
Unclassified Rikenellaceae	597806	151519
Parabacteroides	24537	3228
Unclassified Tannerellaceae	1132	180
Unclassified Bacteroidales	1439126	417194
Bacteroidia bacterium (no genus in NCBI)	32	74
Unclassified Marinilabiliaceae	15	4
Maribellus	13	0
Unclassified Bacteroidia	36829	10009
Unclassified Cytophagales	19	0
Flavobacterium	7	0
Unclassified Flavobacteriales	31	5
Algoriella	2	7
Unclassified Weeksellaceae	0	14
Sphingobacterium	15	0
Unclassified Sphingobacteriaceae	60	135
Unclassified Bacteroidetes	47590	12174
Unclassified Caldisericia	42	0
Unclassified Candidatus Absconditabacteria	0	22
Unclassified Candidatus Aminicenantes	17	2
Unclassified Candidatus Fermentibacteria	56	5
Unclassified Candidatus Hydrogenedentes	68	0
Candidatus Gastranaerophilales bacterium (no genus in NCBI)	105	346
Unclassified Candidatus Gastranaerophilales	3096	24
Candidatus Melainabacteria bacterium (no genus in NCBI)	97	0
Unclassified Candidatus Melainabacteria	178	85
Unclassified Candidatus Riflebacteria	27	2
Unclassified Candidatus Sumerlaeota	0	12
Unclassified Candidatus Sungbacteria	9	2
Chlamydia	61	40
Unclassified Chlamydiia	41	5
Unclassified Anaerolineales	1	5
Unclassified Anaerolineae	12	2
Unclassified Dehalococcoidia	17	0
Unclassified Chloroflexi	51	38
Unclassified Cyanobacteria	73	4
Candidatus Avelusimicrobium	177	14
Elusimicrobia bacterium (no genus in NCBI)	408	227
Elusimicrobiaceae bacterium (no genus in NCBI)	128063	601
Elusimicrobium	99	23
Unclassified Elusimicrobiaceae	7076	2145
Unclassified Elusimicrobiales	1228	330
Unclassified Elusimicrobia	11545	2283
Fibrobacter	25	92
Unclassified Fibrobacterales	23	4
Unclassified Fibrobacteria	0	158
Unclassified Fibrobacteres	12	6
Bacillus	11	13
Unclassified Bacillaceae	9	0
Exiguobacterium	12	13
Paenibacillus	87	26
Unclassified Paenibacillaceae	80	0
Staphylococcus	30	21
Unclassified Bacillales	306	41
Bacilli bacterium (no genus in NCBI)	363	329
Atopostipes	36	4
Enterococcus	74	58
Unclassified Enterococcaceae	12	5
Lacticaseibacillus	12	0
Lactiplantibacillus	19	0
Lactobacillus	40	41
Ligilactobacillus	6	87
Unclassified Lactobacillaceae	32	31
Lactococcus	169	80
Streptococcus	139	584
Unclassified Lactobacillales	102	80
Unclassified Bacilli	2635	1461
Unclassified Candidatus Borkfalkiales	47	0
Candidatus Merdicola	0	13
Clostridia bacterium (no genus in NCBI)	10484	3073
Candidatus Avimonoglobus	9	0
Candidatus Faecivicinus	12	0
Candidatus Faecousia	32	3
Candidatus Fimimorpha	29	0
Candidatus Limiplasma	36	10
Candidatus Pelethousia	44	3
Candidatus Scatomorpha	382	28
Christensenella	68	0
Christensenellaceae bacterium (no genus in NCBI)	5570	121
Unclassified Christensenellaceae	2260	57
Butyricicoccus	2622	7199
Clostridiaceae bacterium (no genus in NCBI)	1624	531
Clostridium	70493	35234
Falcatimonas	872	15
Hungatella	91	20
Natronincola	34	0
Paraclostridium	5	4
Unclassified Clostridiaceae	3054	1989
Clostridiales bacterium (no genus in NCBI)	91426	17822
Colidextribacter	162	4
Sporotomaculum	26	7
Eubacteriaceae bacterium (no genus in NCBI)	994	3
Eubacterium	22120	31624
Intestinibacillus	4	44
Unclassified Eubacteriaceae	225	106
Bacilliculturomica	142	41
Casaltella	58	74
Emergencia	175	0
Lentihominibacter	11	0
Mobilibacterium	0	14
Mogibacterium	515	24
Unclassified Eubacteriales Family XIII. Incertae Sedis	19	0
Eubacteriales bacterium (no genus in NCBI)	829	121
Evtepia	1	2
Feifania	21	5
Flintibacter	101	2
Gemmiger	669	66
Intestinimonas	557	262
Acetatifactor	361	0
Agathobacter	608	749
Anaerobutyricum	219	202
Anaerostipes	371	4270
Anaerotignum	13	17
Blautia	987	453
