	SRR1927149	SRR1929485
K00001	1295	295
K00002	191	95
K00003	2218	770
K00004	174	97
K00005	424	350
K00007	15	95
K00008	1724	664
K00009	408	321
K00010	3036	1154
K00011	154	265
K00012	11210	2665
K00013	7297	1470
K00014	7268	1344
K00015	508	83
K00016	5170	852
K00018	3032	956
K00019	285	25
K00020	285	85
K00023	166	0
K00024	6655	1203
K00027	2184	741
K00029	7851	1209
K00030	187	102
K00031	8668	1751
K00033	554	173
K00034	100	258
K00036	33	140
K00038	155	30
K00039	7	60
K00040	2270	1229
K00041	2735	947
K00042	294	333
K00044	146	27
K00045	867	292
K00046	3099	796
K00048	1370	654
K00052	7650	1435
K00053	9565	1540
K00057	7312	1567
K00058	9208	1971
K00059	13191	3244
K00060	717	285
K00061	12	69
K00065	195	298
K00066	40	0
K00067	8256	1115
K00068	929	418
K00073	113	157
K00074	1606	643
K00075	6299	1780
K00076	527	156
K00077	5392	866
K00078	1152	251
K00086	243	36
K00087	1350	435
K00088	11693	2644
K00090	10	119
K00091	1157	291
K00094	3	33
K00096	1555	414
K00097	5790	839
K00099	9075	1955
K00100	685	48
K00101	296	217
K00102	5	12
K00104	11086	616
K00106	38	10
K00108	10	145
K00111	3465	1325
K00112	932	374
K00113	953	417
K00116	35	138
K00117	52	264
K00118	91	9
K00121	32	267
K00122	28	80
K00123	1743	963
K00124	162	350
K00125	1002	126
K00127	39	80
K00128	1297	571
K00130	81	131
K00132	30	9
K00133	9564	1995
K00134	11175	3017
K00135	70	47
K00137	18	110
K00138	77	168
K00140	129	179
K00145	7011	1468
K00146	12	128
K00147	7726	1544
K00150	63	14
K00153	14	25
K00154	6	5
K00156	12	128
K00157	29	25
K00158	4	7
K00161	11	5
K00163	60	349
K00164	50	264
K00169	1556	254
K00170	1193	55
K00171	230	38
K00172	692	101
K00174	6215	1906
K00175	4572	1274
K00176	1312	442
K00177	2684	682
K00179	4784	1104
K00180	1771	404
K00185	6	51
K00186	113	10
K00187	126	17
K00188	53	12
K00194	26	11
K00196	167	13
K00197	31	6
K00198	3973	218
K00208	1938	794
K00209	4725	256
K00210	1381	396
K00214	33	12
K00215	5310	1338
K00216	20	33
K00219	678	648
K00220	21	5
K00226	176	6
K00228	16	73
K00230	159	105
K00231	774	630
K00239	7598	2839
K00240	2353	1024
K00241	2332	886
K00242	10	51
K00243	4320	747
K00244	6818	933
K00245	2741	131
K00246	1883	71
K00247	1315	52
K00248	2066	1008
K00249	2566	604
K00251	20	0
K00252	9	15
K00253	27	0
K00254	3421	360
K00259	1292	756
K00260	225	174
K00261	471	174
K00262	11403	2546
K00263	22	4
K00264	8	2
K00265	23087	3427
K00266	17376	4670
K00275	1778	90
K00276	26	210
K00278	9670	1880
K00281	196	267
K00282	2685	470
K00283	2586	542
K00284	4645	1864
K00285	21	72
K00286	4862	978
K00287	3577	673
K00290	3812	1355
K00297	5590	1084
K00298	42	49
K00299	97	99
K00302	2127	640
K00303	314	61
K00313	47	289
K00319	17	2
K00322	63	129
K00324	5635	228
K00325	6221	254
K00329	34	18
K00330	711	247
K00331	1398	455
K00332	70	40
K00333	111	76
K00334	846	282
K00335	3479	939
K00336	2655	1036
K00337	2382	709
K00338	1191	381
K00339	1223	391
K00340	691	268
K00341	4054	1373
K00342	3390	1222
K00343	2758	882
K00344	2718	361
K00346	7485	1018
K00347	7953	983
K00348	4873	661
K00349	4789	604
K00350	4180	551
K00351	7280	1114
K00354	90	25
K00355	82	82
K00356	34	18
K00360	52	2
K00362	165	281
K00363	5	40
K00364	242	186
K00366	287	83
K00370	63	584
K00371	44	212
K00373	8	72
K00374	14	115
K00375	1776	550
K00380	16	128
K00381	17	137
K00382	6780	682
K00383	8	144
K00384	9614	1749
K00385	84	96
K00389	17	42
K00390	2336	990
K00392	742	370
K00394	316	268
K00395	328	123
K00399	39	13
K00400	23	3
K00401	11	0
K00402	27	13
K00404	35	6
K00405	10	5
K00406	21	13
K00411	9	1
K00412	17	2
K00413	17	6
K00425	2614	1315
K00426	2107	1035
K00427	36	197
K00428	31	190
K00432	987	284
K00433	180	3
K00436	14	0
K00450	23	0
K00459	575	341
K00484	12	22
K00521	38	0
K00525	6793	1255
K00526	504	347
K00528	2759	900
K00529	7	97
K00533	4134	1136
K00537	988	585
K00547	114	108
K00548	19329	3494
K00549	8343	1290
K00552	7	3
K00554	7154	1536
K00556	668	271
K00557	3436	186
K00558	29448	5218
K00559	670	250
K00560	7118	1563
K00561	1	122
K00563	248	239
K00564	598	129
K00566	8057	1965
K00567	3937	748
K00568	1170	285
K00570	83	6
K00571	14965	3530
K00573	79	80
K00574	462	302
K00575	4746	320
K00584	20	0
K00587	108	134
K00588	1832	674
K00590	1500	768
K00591	158	12
K00595	1051	237
K00598	488	250
K00600	11350	2336
K00602	11562	2619
K00603	342	72
K00604	7422	1866
K00605	2583	634
K00606	4167	612
K00609	7020	1460
K00610	2998	494
K00611	6039	973
K00612	176	10
K00615	19078	4381
K00616	1321	431
K00619	234	144
K00620	1860	648
K00621	533	141
K00625	3761	1236
K00626	1329	824
K00627	808	427
K00631	7302	424
K00632	20	221
K00633	558	195
K00634	3233	641
K00638	639	230
K00639	2308	741
K00640	7935	2216
K00641	747	170
K00645	6435	1402
K00647	9268	954
K00648	7795	1360
K00651	5250	892
K00652	6281	1040
K00655	7217	1849
K00656	16760	3822
K00657	1959	424
K00658	12	96
K00661	5149	1423
K00662	273	56
