	SRR1927149	SRR1929485
PF00004 [ATPase family associated with various cellular activities (AAA)]	1664.11030370207	1294.88067640902
PF00005 [ABC transporter]	7035.94477441059	5756.20983157625
PF00006 [ATP synthase alpha/beta family, nucleotide-binding domain]	845.641845608334	614.866324234335
PF00009 [Elongation factor Tu GTP binding domain]	2099.42273830033	2174.1813515715
PF00011 [Hsp20/alpha crystallin family]	213.738652807762	320.240069505168
PF00012 [Hsp70 protein]	596.383491934314	717.921229913679
PF00013 [KH domain]	74.7590819954296	85.3583973456628
PF00015 [Methyl-accepting chemotaxis protein (MCP) signalling domain]	772.244323949585	452.75775345923
PF00016 [Ribulose bisphosphate carboxylase large chain, catalytic domain]	0.66320375767814	5.80456165129054
PF00022 [Actin]	6.09971406611851	11.4242105204074
PF00023 [Ankyrin repeat]	85.3081855068556	150.936339098893
PF00027 [Cyclic nucleotide-binding domain]	140.995538648956	105.36366636256
PF00030 [Beta/Gamma crystallin]	1.82797736607463	0.75615432549852
PF00033 [Cytochrome b/b6/petB]	0.53664994474038	0.374555348082555
PF00034 [Cytochrome c]	0.427979901306803	10.9135461722423
PF00035 [Double-stranded RNA binding motif]	123.70364072143	68.7063921781865
PF00036 [EF hand]	43.2887384436627	1.02694987455499
PF00037 [4Fe-4S binding domain]	617.004830940533	609.491368430017
PF00041 [Fibronectin type III domain]	68.1485776669099	2.76951539682825
PF00042 [Globin]	0.305006906994647	6.6117981847923
PF00043 [Glutathione S-transferase, C-terminal domain]	0.79529887634751	17.514222750399
PF00044 [Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain]	295.383169093463	287.754500580618
PF00056 [lactate/malate dehydrogenase, NAD binding domain]	268.649106713343	173.824103973321
PF00059 [Lectin C-type domain]	10.0979871100097	2.33773775291249
PF00069 [Protein kinase domain]	392.471181018901	316.312559965423
PF00070 [Pyridine nucleotide-disulphide oxidoreductase]	544.449354109546	390.698339623984
PF00072 [Response regulator receiver domain]	3763.49674387659	3337.29904548402
PF00075 [RNase H]	162.676410944535	104.461349855084
PF00076 [RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)]	123.026227895678	7.96048644848873
PF00078 [Reverse transcriptase (RNA-dependent DNA polymerase)]	456.615475886702	510.861146236523
PF00079 [Serpin (serine protease inhibitor)]	89.1550108557437	79.1800652241506
PF00080 [Copper/zinc superoxide dismutase (SODC)]	5.09286803299226	9.19592166256496
PF00081 [Iron/manganese superoxide dismutases, alpha-hairpin domain]	54.5926539083474	17.6184894835363
PF00082 [Subtilase family]	551.224315374079	216.982942313208
PF00083 [Sugar (and other) transporter]	293.602732607755	349.834018591278
PF00085 [Thioredoxin]	378.911443868484	391.884744592649
PF00089 [Trypsin]	140.884570866627	125.854787026228
PF00091 [Tubulin/FtsZ family, GTPase domain]	233.108938487697	211.382761111352
PF00092 [von Willebrand factor type A domain]	194.459134358672	150.4144312064
PF00106 [short chain dehydrogenase]	872.021410416449	999.990417818482
PF00107 [Zinc-binding dehydrogenase]	97.840869691827	174.919033989064
PF00108 [Thiolase, N-terminal domain]	37.1283683592153	111.010026696121
PF00109 [Beta-ketoacyl synthase, N-terminal domain]	405.482289027437	233.357017154593
PF00111 [2Fe-2S iron-sulfur cluster binding domain]	21.1017569198905	60.4294625353719
PF00112 [Papain family cysteine protease]	25.7417297841748	40.4784322014169
PF00113 [Enolase, C-terminal TIM barrel domain]	242.01266261323	256.371274792072
PF00115 [Cytochrome C and Quinol oxidase polypeptide I]	1.06118589524283	12.7763112073939
PF00117 [Glutamine amidotransferase class-I]	997.308651446998	726.841354128195
PF00118 [TCP-1/cpn60 chaperonin family]	477.29718681849	465.472486870991
PF00119 [ATP synthase A chain]	300.13632218571	234.85289173612
PF00120 [Glutamine synthetase, catalytic domain]	249.820503734465	240.677751978593
PF00121 [Triosephosphate isomerase]	286.902752360338	242.598127604157
PF00122 [E1-E2 ATPase]	594.890054021048	483.135680573378
PF00126 [Bacterial regulatory helix-turn-helix protein, lysR family]	534.042745892251	894.242076907876
PF00128 [Alpha amylase, catalytic domain]	1913.99292707135	711.721261365253
PF00132 [Bacterial transferase hexapeptide (six repeats)]	787.74882851382	598.224745842075
PF00133 [tRNA synthetases class I (I, L, M and V)]	1251.51577793853	1236.15030433996
PF00135 [Carboxylesterase family]	235.1692015829	200.387622213728
PF00136 [DNA polymerase family B]	4.97350942861343	7.25731389129762
PF00137 [ATP synthase subunit C]	147.005629118362	175.656854267434
PF00139 [Legume lectin domain]	3.459649773625	0
PF00140 [Sigma-70 factor, region 1.2]	108.875442333233	139.613924262466
PF00141 [Peroxidase]	0.215545782481693	8.01095062907241
PF00142 [4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family]	31.1361603105897	43.9764582438875
PF00144 [Beta-lactamase]	164.072508951771	262.449654137863
PF00145 [C-5 cytosine-specific DNA methylase]	621.089124884906	396.088587015916
PF00146 [NADH dehydrogenase]	108.01667562113	167.839066297953
PF00148 [Nitrogenase component 1 type Oxidoreductase]	38.1902340458996	63.6464317166318
PF00149 [Calcineurin-like phosphoesterase]	560.559882106841	318.041824324287
PF00150 [Cellulase (glycosyl hydrolase family 5)]	218.425239437126	244.909692089129
PF00152 [tRNA synthetases class II (D, K and N) ]	1056.21433409458	927.965277423828
PF00154 [recA bacterial DNA recombination protein]	282.168236443342	344.488038780018
PF00155 [Aminotransferase class I and II]	1554.19935539131	1152.88319895987
PF00156 [Phosphoribosyl transferase domain]	540.26642462464	403.556689929213
PF00158 [Sigma-54 interaction domain]	562.432341346049	613.357720230502
PF00160 [Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD]	308.154027486157	273.035269589098
PF00162 [Phosphoglycerate kinase]	432.432362724302	412.304583067514
PF00163 [Ribosomal protein S4/S9 N-terminal domain]	261.29141517828	228.21471863442
PF00164 [Ribosomal protein S12/S23]	314.439486171781	287.71909894167
PF00165 [Bacterial regulatory helix-turn-helix proteins, AraC family]	1042.20912521029	1180.59472534356
PF00166 [Chaperonin 10 Kd subunit]	254.98290109589	231.560493657544
PF00171 [Aldehyde dehydrogenase family]	192.564135584478	255.224239984008
PF00174 [Oxidoreductase molybdopterin binding domain]	0.263807716943082	8.5065681275638
PF00175 [Oxidoreductase NAD-binding domain ]	158.190456244012	77.3850205471871
PF00176 [SNF2 family N-terminal domain]	184.819884379472	152.457501700233
PF00177 [Ribosomal protein S7p/S5e]	370.95133683868	379.603028065377
PF00180 [Isocitrate/isopropylmalate dehydrogenase]	574.398563628451	429.228468487028
