	SRR1927149	SRR1929485
PF00004 [ATPase family associated with various cellular activities (AAA)]	3667727.44285714	713269.572619048
PF00005 [ABC transporter]	17857761.1666667	3746507.75
PF00006 [ATP synthase alpha/beta family, nucleotide-binding domain]	2035896.33333333	376130.5
PF00009 [Elongation factor Tu GTP binding domain]	4203345.28333333	1108641.8
PF00011 [Hsp20/alpha crystallin family]	294704	120154.5
PF00012 [Hsp70 protein]	1200779.33333333	370894
PF00013 [KH domain]	133651.15	40034
PF00015 [Methyl-accepting chemotaxis protein (MCP) signalling domain]	3173735.33333333	475784.166666667
PF00016 [Ribulose bisphosphate carboxylase large chain, catalytic domain]	2106	4586
PF00022 [Actin]	10403.8333333333	5117.5
PF00023 [Ankyrin repeat]	62909.1666666667	26685.4
PF00027 [Cyclic nucleotide-binding domain]	310273.5	59907.3333333333
PF00030 [Beta/Gamma crystallin]	4294.8	445.4
PF00033 [Cytochrome b/b6/petB]	536.5	99.5
PF00034 [Cytochrome c]	862	5495.33333333333
PF00035 [Double-stranded RNA binding motif]	130856	17413
PF00036 [EF hand]	25799.25	185
PF00037 [4Fe-4S binding domain]	636347.117857143	165103.485714286
PF00041 [Fibronectin type III domain]	418214.666666667	5483
PF00042 [Globin]	625	3974.5
PF00043 [Glutathione S-transferase, C-terminal domain]	1185.5	6435.5
PF00044 [Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain]	457257	115793.5
PF00056 [lactate/malate dehydrogenase, NAD binding domain]	499175	82675.5
PF00059 [Lectin C-type domain]	32203.2	2114
PF00069 [Protein kinase domain]	948628	179598.166666667
PF00070 [Pyridine nucleotide-disulphide oxidoreductase]	847256.583333334	158722
PF00072 [Response regulator receiver domain]	6679012.06666667	1515262.60833333
PF00075 [RNase H]	245271	37917
PF00076 [RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)]	236297	3335
PF00078 [Reverse transcriptase (RNA-dependent DNA polymerase)]	1313774.33333333	393061.5
PF00079 [Serpin (serine protease inhibitor)]	231248	51716
PF00080 [Copper/zinc superoxide dismutase (SODC)]	8068	3818
PF00081 [Iron/manganese superoxide dismutases, alpha-hairpin domain]	66426	5106.5
PF00082 [Subtilase family]	2501423.5	253357
PF00083 [Sugar (and other) transporter]	635658	191508.166666667
PF00085 [Thioredoxin]	449851.5	114741.166666667
PF00089 [Trypsin]	226385.65	49374.1833333333
PF00091 [Tubulin/FtsZ family, GTPase domain]	524764.5	122084
PF00092 [von Willebrand factor type A domain]	441343.816666667	78742.6833333333
PF00106 [short chain dehydrogenase]	936289.266666667	273768.633333333
PF00107 [Zinc-binding dehydrogenase]	219591.5	101427.333333333
PF00108 [Thiolase, N-terminal domain]	65377.5	54532
PF00109 [Beta-ketoacyl synthase, N-terminal domain]	972766	141026.5
PF00111 [2Fe-2S iron-sulfur cluster binding domain]	45355.3333333333	35121.3333333333
PF00112 [Papain family cysteine protease]	75440.5	30990.6666666667
PF00113 [Enolase, C-terminal TIM barrel domain]	404087	109859
PF00115 [Cytochrome C and Quinol oxidase polypeptide I]	5699	17487
PF00117 [Glutamine amidotransferase class-I]	2053314.91666667	388961.5
PF00118 [TCP-1/cpn60 chaperonin family]	1272094	323690
PF00119 [ATP synthase A chain]	715543	140143
PF00120 [Glutamine synthetase, catalytic domain]	682553.833333333	168047.666666667
PF00121 [Triosephosphate isomerase]	636457	141911
PF00122 [E1-E2 ATPase]	1592055.25	336134.583333333
PF00126 [Bacterial regulatory helix-turn-helix protein, lysR family]	893861.833333333	385797
PF00128 [Alpha amylase, catalytic domain]	7510248.33333333	727319.166666667
PF00132 [Bacterial transferase hexapeptide (six repeats)]	1448408.41666667	277064.75
PF00133 [tRNA synthetases class I (I, L, M and V)]	2475499	619209.75
PF00135 [Carboxylesterase family]	591014.333333333	137257.166666667
PF00136 [DNA polymerase family B]	23622.5	9080.5
PF00137 [ATP synthase subunit C]	141082	41924
PF00139 [Legume lectin domain]	10861	0
PF00140 [Sigma-70 factor, region 1.2]	144197.433333333	46817.15
PF00141 [Peroxidase]	1742	18709
PF00142 [4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family]	37655.25	14381.9833333333
PF00144 [Beta-lactamase]	516462.5	215992
PF00145 [C-5 cytosine-specific DNA methylase]	1985697	311945
PF00146 [NADH dehydrogenase]	218582	82999
PF00148 [Nitrogenase component 1 type Oxidoreductase]	96364	41299
PF00149 [Calcineurin-like phosphoesterase]	1729813.83333333	254655.416666667
PF00150 [Cellulase (glycosyl hydrolase family 5)]	767692.333333333	210883.833333333
PF00152 [tRNA synthetases class II (D, K and N) ]	2222037.16666667	509482.666666667
PF00154 [recA bacterial DNA recombination protein]	584493.5	185689
PF00155 [Aminotransferase class I and II]	4938976.83333333	954693.5
PF00156 [Phosphoribosyl transferase domain]	948482.833333333	179682.666666667
PF00158 [Sigma-54 interaction domain]	945501.095238095	265831.482142857
PF00160 [Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD]	538312	123504
PF00162 [Phosphoglycerate kinase]	912940	221458
PF00163 [Ribosomal protein S4/S9 N-terminal domain]	281100	64702.5
PF00164 [Ribosomal protein S12/S23]	375202	89958
PF00165 [Bacterial regulatory helix-turn-helix proteins, AraC family]	1412825.86666667	399777.358333333
PF00166 [Chaperonin 10 Kd subunit]	220639	52317
PF00171 [Aldehyde dehydrogenase family]	633282.5	223329.666666667
PF00174 [Oxidoreductase molybdopterin binding domain]	340	3384
PF00175 [Oxidoreductase NAD-binding domain ]	527929.333333333	63506.8333333333
PF00176 [SNF2 family N-terminal domain]	807137.233333333	167805.083333333
PF00177 [Ribosomal protein S7p/S5e]	474875	126093
PF00180 [Isocitrate/isopropylmalate dehydrogenase]	1379239	260581
PF00181 [Ribosomal Proteins L2, RNA binding domain]	359538	85895
PF00183 [Hsp90 protein]	828163.833333333	140895.666666667
PF00185 [Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain]	668866.833333333	138852.833333333
PF00186 [Dihydrofolate reductase]	273051	48758
PF00188 [Cysteine-rich secretory protein family]	69647.5	14560
PF00189 [Ribosomal protein S3, C-terminal domain]	330027.5	88246.5
PF00195 [Chalcone and stilbene synthases, N-terminal domain]	3709	330
PF00196 [Bacterial regulatory proteins, luxR family]	733829.5	223947.5
PF00198 [2-oxoacid dehydrogenases acyltransferase (catalytic domain)]	47293.5	20550.5
PF00199 [Catalase]	776.333333333333	6010.33333333333
PF00202 [Aminotransferase class-III]	1411571.5	295762
PF00203 [Ribosomal protein S19]	273160	71341
PF00204 [DNA gyrase B]	948293.033333333	206659.366666667
PF00205 [Thiamine pyrophosphate enzyme, central domain]	429824.5	103161
PF00206 [Lyase]	1265820	335293
PF00207 [Alpha-2-macroglobulin family]	255117	49940
PF00208 [Glutamate/Leucine/Phenylalanine/Valine dehydrogenase]	511716	128842
PF00209 [Sodium:neurotransmitter symporter family]	1848843	269844
PF00210 [Ferritin-like domain]	89510	45648
PF00211 [Adenylate and Guanylate cyclase catalytic domain]	98149	26689
PF00213 [ATP synthase delta (OSCP) subunit]	350957	71600
PF00215 [Orotidine 5'-phosphate decarboxylase / HUMPS family]	347389	92486
PF00216 [Bacterial DNA-binding protein]	634819.5	131867
PF00217 [ATP:guanido phosphotransferase, C-terminal catalytic domain]	58305	23049
PF00218 [Indole-3-glycerol phosphate synthase]	280645	57685
PF00221 [Aromatic amino acid lyase]	242277	49724
PF00224 [Pyruvate kinase, barrel domain]	591373	111058
PF00226 [DnaJ domain]	408206.166666667	127405.5
PF00227 [Proteasome subunit]	72228	19832
PF00230 [Major intrinsic protein]	57453	35107
PF00231 [ATP synthase]	640457	141737
PF00232 [Glycosyl hydrolase family 1]	147594	103850.5
PF00237 [Ribosomal protein L22p/L17e]	352045	95313
PF00238 [Ribosomal protein L14p/L23e]	351029	94564
PF00239 [Resolvase, N terminal domain]	2869047.25	751828.166666667
PF00240 [Ubiquitin family]	21097.5	967
PF00245 [Alkaline phosphatase]	486433	50349
PF00246 [Zinc carboxypeptidase]	301194.5	13253
PF00248 [Aldo/keto reductase family]	1494690	303756
