	SRR1927149	SRR1929485
K00001	110080	24219
K00002	15487	7627
K00003	185665	63893
K00004	14706	8373
K00005	33718	28028
K00007	1404	7819
K00008	147603	55092
K00009	34039	26211
K00010	252446	95167.5
K00011	12816	21601
K00012	966129	221558
K00013	620915	120926
K00014	619730	109197
K00015	43369	6427
K00016	443124	68166
K00018	248577	76704
K00019	22802	1939
K00020	23277	7079
K00023	14186	0
K00024	561413	102087
K00027	179541	59549
K00029	699015	104801
K00030	15284	8267
K00031	747207	145207
K00033	45233	14908
K00034	7875	20588
K00036	2815	11929
K00038	12308	2122
K00039	592	4759
K00040	191476	104480
K00041	234305	79625
K00042	24537	26731
K00044	11559	2128
K00045	72935	25330
K00046	255816	65405
K00048	115896	53930
K00052	651935	117765
K00053	842467	130634
K00057	617682	126946
K00058	783319	161733
K00059	1086049	262750
K00060	59060	22723
K00061	1003	5195
K00065	15909	23798
K00066	3767	0
K00067	704880	91177
K00068	75025	33342
K00073	9559	13533
K00074	128393	51502
K00075	526174	143642
K00076	41777	12785
K00077	450625	69305
K00078	98147	21129
K00086	20206	2545
K00087	112156	34548
K00088	1004106	219222
K00090	867	9462
K00091	91120	23689
K00094	274	3029
K00096	130170	34144
K00097	486539	67308
K00099	764945	160387
K00100	55752	3963
K00101	24958	17385
K00102	448	1150
K00104	1010670	52072
K00106	3255	857
K00108	670	11918
K00111	286558	109602
K00112	76663	30893
K00113	79010	35694
K00116	3044	12011
K00117	3770	22189
K00118	7766	810
K00121	2741	22280
K00122	2008	6927
K00123	153806	82252
K00124	12858	27479
K00125	84679	10320
K00127	3171	6229
K00128	104645	46712
K00130	6040	10161
K00132	2715	646
K00133	810053	164519
K00134	936353	247418
K00135	6164	3838
K00137	1511	8890
K00138	6478	13625
K00140	11009	15781
K00145	595597	118908
K00146	1048	10676
K00147	660086	127618
K00150	5049	1210
K00153	1320	2073
K00154	384	267
K00156	1127	11230
K00157	2103	2091
K00158	244	549
K00161	528	410
K00163	5229	30026
K00164	4211	22732
K00169	135876	21243
K00170	102794	4207
K00171	15649	2968
K00172	57021	8091
K00174	503321	152127
K00175	356900	97480
K00176	82271	27034
K00177	206796	52231
K00179	412974	92920
K00180	140176	30932
K00185	545	4488
K00186	9013	662
K00187	10760	1157
K00188	3403	824
K00194	1893	734
K00196	12586	684
K00197	2213	355
K00198	351427	19076
K00208	161692	66139
K00209	415336	22306
K00210	114944	33324
K00214	2963	984
K00215	436619	105917
K00216	1576	2384
K00219	55635	54852
K00220	1224	284
K00226	14831	534
K00228	1363	5243
K00230	12269	7895
K00231	62763	54287
K00239	656856	244673
K00240	188317	84481
K00241	191626	73209
K00242	629	3608
K00243	358633	58111
K00244	599216	77868
K00245	227583	10385
K00246	149925	5564
K00247	101899	3855
K00248	163184	79533
K00249	224050	52891
K00251	1030	0
K00252	778	1402
K00253	2185	0
K00254	297741	30193
K00259	108948	65615
K00260	17816	15209
K00261	38423	14298
K00262	973245	214286
K00263	2096	400
K00264	649	133
K00265	2111841	296202
K00266	1486880	388012
K00275	149280	7038
K00276	2341	18635
K00278	858781	160522
K00281	17694	22378
K00282	219242	36581
K00283	212646	45820
K00284	408531	160347
K00285	1808	6127
K00286	397932	77414
K00287	277334	51454
